"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review"
"Basic","A square is divided into smaller squares: 1, 4, 16, __. What is the next number?","36","25","64","81","C","Each number is multiplied by 4: 1 × 4 = 4, 4 × 4 = 16. Next: 16 × 4 = 64.","TRUE"
"Basic","A sequence of shapes alternates: Circle, Square, Circle, Square, __. What is the next shape?","Rectangle","Triangle","Circle","Square","C","Pattern alternates: Circle, Square. After Square, the next is Circle.","TRUE"
"Basic","A pentagon rotates 72° clockwise each step. After two rotations, what is the position?","288° clockwise","108° clockwise","144° clockwise","144° counter-clockwise","C","72° × 2 = 144° clockwise.","TRUE"
"Basic","A sequence of triangles adds one triangle: 1, 2, 4, __. What is the next number?","7","16","8 triangles","3","C","Each number is multiplied by 2: 1 × 2 = 2, 2 × 2 = 4. Next: 4 × 2 = 8.","TRUE"
"Basic","A sequence of squares increases side length by 1: 1×1, 2×2, 3×3, __. What is the next square?","4×4","5×5","Square","22×22","A","Side lengths: 1, 2, 3. Next: 4. Square is 4×4.","TRUE"
"Basic","A sequence alternates colors: Red, Blue, Red, Blue, __. What is the next color?","Red","Blue","White","Yellow","A","Pattern alternates: Red, Blue. After Blue, the next is Red.","TRUE"
"Basic","A circle is divided into sectors: 2, 4, 8, __. What is the next number?","16 sectors","3","6","12","A","Each number is multiplied by 2: 2 × 2 = 4, 4 × 2 = 8. Next: 8 × 2 = 16.","TRUE"
"Basic","A sequence of shapes: Star, Circle, Star, Circle, __. What is the next shape?","Hexagon","Triangle","Star","Pentagon","C","Pattern alternates: Star, Circle. After Circle, the next is Star.","TRUE"
"Basic","A square rotates 45° clockwise each step. After four rotations, what is the position?","180° clockwise","315° clockwise","270° clockwise","360° clockwise","A","45° × 4 = 180° clockwise.","TRUE"
"Basic","A sequence of hexagons adds one side: 6, 7, 8, __. What is the next number?","9 sides","7 sides","5 sides","10 sides","A","Each number increases by 1: 6 + 1 = 7, 7 + 1 = 8. Next: 8 + 1 = 9.","TRUE"
"Basic","A sequence of shapes doubles: 1 triangle, 2 triangles, 4 triangles, __. What is the next number?","8 triangles","6 triangles","9 triangles","5 triangles","A","Each number is multiplied by 2: 1 × 2 = 2, 2 × 2 = 4. Next: 4 × 2 = 8.","TRUE"
"Basic","A sequence alternates: Filled Circle, Empty Circle, Filled Circle, __. What is the next shape?","45° clockwise","Square","Empty Circle","Filled Triangle","C","Pattern alternates: Filled, Empty. After Filled, the next is Empty Circle.","TRUE"
"Basic","A rectangle increases length by 1: 2×1, 3×1, 4×1, __. What is the next rectangle?","2×2","4×2","5×1","6×3","C","Lengths: 2, 3, 4. Next: 4 + 1 = 5. Rectangle is 5×1.","TRUE"
"Basic","A sequence of colors: Green, Yellow, Green, Yellow, __. What is the next color?","Green","Red","Blue","Yellow","A","Pattern alternates: Green, Yellow. After Yellow, the next is Green.","TRUE"
"Basic","A triangle increases sides: 3, 4, 5, __. What is the next number?","6 sides","7 sides","6 corners","5 sides","A","Each number increases by 1: 3 + 1 = 4, 4 + 1 = 5. Next: 5 + 1 = 6.","TRUE"
"Basic","A sequence of shapes: Square, Triangle, Square, Triangle, __. What is the next shape?","Square","Triangle","Circle","Hexagon","A","Pattern alternates: Square, Triangle. After Triangle, the next is Square.","TRUE"
"Basic","A circle increases radius by 1: r=1, r=2, r=3, __. What is the next radius?","r=4","r=3","r=5","r=2","A","Radii: 1, 2, 3. Next: 3 + 1 = 4.","TRUE"
"Basic","2 : 4 :: 6 : __","6 : 8","12","3 : 12","8 : 6","B","2 × 2 = 4. Similarly, 6 × 2 = 12.","TRUE"
"Basic","Circle : Square :: Triangle : __","Hexagon : Square","Square : Pentagon","Triangle : Hexagon","Quadrilateral","D","Circle and Square are shapes. Triangle is a shape; the next shape with one more side is Quadrilateral.","TRUE"
"Basic","1 : 3 :: 5 : __","1 : 3 :: 2 : 4","1 : 3 :: 3 : 5","15","1 : 3 :: 4 : 6","C","1 × 3 = 3. Similarly, 5 × 3 = 15.","TRUE"
"Basic","Red : Blue :: Yellow : __","Red -> Green (off-by-one in a rotation sequence)","Green -> Blue (swapping)","Green","Blue -> Red -> Green -> Yellow -> Orange","C","Red and Blue are colors. Yellow is a color; the next color in a simple sequence (e.g., rainbow) is Green.","TRUE"
"Basic","3 : 9 :: 4 : __","2 : 4","8 : 64","6 : 36","16","D","3² = 9. Similarly, 4² = 16.","TRUE"
"Basic","Star : Circle :: Pentagon : __","Octagon : Circle","Pentagon","Triangle : Circle","Starfish : Circle","B","Star and Circle are shapes. Pentagon is a shape; the next shape with same sides (5) is Pentagon.","TRUE"
"Basic","2 : 8 :: 3 : __","11","27","9","64","B","2³ = 8. Similarly, 3³ = 27.","TRUE"
"Basic","Small : Large :: Short : __","Short : Thin","Long","Small : Heavy","Tall : Wide","B","Small and Large are size opposites. Short’s opposite is Long.","TRUE"
"Basic","5 : 25 :: 6 : __","60","36","72","45","B","5² = 25. Similarly, 6² = 36.","TRUE"
"Basic","Triangle : 3 :: Square : __","4","5","6","8","A","Triangle has 3 sides. Square has 4 sides.","TRUE"
"Basic","1 : 2 :: 3 : __","6","11","5","8","A","1 × 2 = 2. Similarly, 3 × 2 = 6.","TRUE"
"Basic","Filled : Empty :: Black : __","75","White","None","Black","B","Filled and Empty are opposites. Black’s opposite is White.","TRUE"
"Basic","4 : 16 :: 5 : __","9","11","25","7","C","4² = 16. Similarly, 5² = 25.","TRUE"
"Basic","Circle : 0 :: Triangle : __","Triangle : 1","Triangle : 0","Circle : 0 and Triangle : 0","3","D","Circle has 0 sides. Triangle has 3 sides.","TRUE"
"Basic","2 : 6 :: 4 : __","12","5 × 3 = 15","2 × 3 = 6","4 × 3 = 12","A","2 × 3 = 6. Similarly, 4 × 3 = 12.","TRUE"
"Basic","Red : Circle :: Blue : __","Circle","Triangle : Square","Star : Triangle","Square : Circle","A","Red is a color, Circle is a shape. Blue is a color, so the shape remains Circle.","TRUE"
"Basic","3 : 12 :: 5 : __","15","20","30","25","B","3 × 4 = 12. Similarly, 5 × 4 = 20.","TRUE"
"Basic","Square : 4 :: Pentagon : __","5","5 : 5","5-sided polygon : 5","Hexagon : 6","A","Square has 4 sides. Pentagon has 5 sides.","TRUE"
"Basic","1 : 4 :: 2 : __","8","2 : 16","1 : 3 :: 2 : 5","1 : 1 :: 2 : 2","A","1 × 4 = 4. Similarly, 2 × 4 = 8.","TRUE"
"Basic","Up : Down :: Left : __","Square","45°","Right","8","C","Up and Down are opposite directions. Left’s opposite is Right.","TRUE"
"Basic","Matrix: [1, 2, 3; 4, 5, 6; 7, 8, __]. What is the missing number?","8","2","4","9","D","Numbers increase by 1: 1, 2, 3, 4, 5, 6, 7, 8. Next: 8 + 1 = 9.","TRUE"
"Basic","Matrix: [2, 4, 6; 8, 10, 12; 14, 16, __]. What is the missing number?","18","15","25","22","A","Each row increases by 2. Third row: 14, 16, 16 + 2 = 18.","TRUE"
"Basic","Matrix: [1, 3, 5; 7, 9, 11; 13, 15, __]. What is the missing number?","9","15","11","17","D","Numbers increase by 2: 1, 3, 5, 7, 9, 11, 13, 15. Next: 15 + 2 = 17.","TRUE"
"Basic","Matrix: [1, 4, 16; 2, 8, 32; 3, 12, __]. What is the missing number?","72","25","64","48","D","Each row: 1 × 4⁰, 1 × 4¹, 1 × 4²; 2 × 4⁰, 2 × 4¹, 2 × 4²; 3 × 4⁰, 3 × 4¹, 3 × 4².  
    Next: 3 × 4² = 48.","TRUE"
"Basic","Matrix: [Circle, Square, Triangle; Square, Triangle, Circle; Triangle, Circle, __]. What is the missing shape?","Hexagon","Square","7","45","B","Each column shifts shapes down: Circle → Square → Triangle; Square → Triangle → Circle; Triangle → Circle → Square.","TRUE"
"Basic","Matrix: [2, 3, 4; 5, 6, 7; 8, 9, __]. What is the missing number?","11","10","9","7","B","Numbers increase by 1: 2, 3, 4, 5, 6, 7, 8, 9. Next: 9 + 1 = 10.","TRUE"
"Basic","Matrix: [1, 2, 4; 8, 16, 32; 64, 128, __]. What is the missing number?","128","256","32","5","B","Each row doubles: 1, 2, 4; 8, 16, 32; 64, 128, 256.","TRUE"
"Basic","Matrix: [Red, Blue, Green; Blue, Green, Red; Green, Red, __]. What is the missing color?","Yellow","Blue","77","92","B","Each column shifts colors down: Red → Blue → Green; Blue → Green → Red; Green → Red → Blue.","TRUE"
"Basic","Matrix: [3, 6, 9; 12, 15, 18; 21, 24, __]. What is the missing number?","18","15","27","24","C","Each row increases by 3. Third row: 21, 24, 24 + 3 = 27.","TRUE"
"Basic","Matrix: [1, 3, 9; 2, 6, 18; 4, 12, __]. What is the missing number?","24","36","48","8","B","Each row multiplies by 3: 1, 3, 9; 2, 6, 18; 4, 12, 36.","TRUE"
"Basic","Matrix: [1, 4, 7; 10, 13, 16; 19, 22, __]. What is the missing number?","25","23","8","21","A","Numbers increase by 3: 1, 4, 7, 10, 13, 16, 19, 22. Next: 22 + 3 = 25.","TRUE"
"Basic","Matrix: [Star, Circle, Square; Circle, Square, Star; Square, Star, __]. What is the missing shape?","Diamond","Hexagon","Circle","Triangle","C","Each column shifts shapes down: Star → Circle → Square; Circle → Square → Star; Square → Star → Circle.","TRUE"
"Basic","Matrix: [2, 4, 8; 16, 32, 64; 128, 256, __]. What is the missing number?","256","64","1024","512","D","Each row doubles: 2, 4, 8; 16, 32, 64; 128, 256, 512.","TRUE"
"Basic","Matrix: [1, 5, 9; 13, 17, 21; 25, 29, __]. What is the missing number?","3","25","17","33","D","Numbers increase by 4: 1, 5, 9, 13, 17, 21, 25, 29. Next: 29 + 4 = 33.","TRUE"
"Basic","Matrix: [Filled, Empty, Filled; Empty, Filled, Empty; Filled, Empty, __]. What is the missing state?","Filled","Red","13","Square","A","Each column alternates: Filled → Empty → Filled; Empty → Filled → Empty; Filled → Empty → Filled.","TRUE"
"Basic","Matrix: [1, 2, 3; 4, 5, 6; 7, 8, __]. What is the missing number?","9","8","5","3","A","Numbers increase by 1: 1, 2, 3, 4, 5, 6, 7, 8. Next: 8 + 1 = 9.","TRUE"
"Basic","Matrix: [3, 9, 27; 2, 6, 18; 1, 3, __]. What is the missing number?","9","7","5","11","A","Each row multiplies by 3: 3, 9, 27; 2, 6, 18; 1, 3, 9.","TRUE"
"Basic","Matrix: [Green, Yellow, Red; Yellow, Red, Green; Red, Green, __]. What is the missing color?","Yellow","Blue","60","180°","A","Each column shifts colors down: Green → Yellow → Red; Yellow → Red → Green; Red → Green → Yellow.","TRUE"
"Basic","Matrix: [4, 8, 12; 16, 20, 24; 28, 32, __]. What is the missing number?","36 becomes 40","4 becomes 2","28 becomes 30","36","D","Each row increases by 4. Third row: 28, 32, 32 + 4 = 36.","TRUE"
"Basic","Matrix: [1, 4, 16; 2, 8, 32; 3, 12, __]. What is the missing number?","48","64","23","17","A","Each row: 1 × 4⁰, 1 × 4¹, 1 × 4²; 2 × 4⁰, 2 × 4¹, 2 × 4²; 3 × 4⁰, 3 × 4¹, 3 × 4².  
    Next: 3 × 4² = 48.","TRUE"
"Basic","Which is the odd one out: 2, 4, 6, 7, 8?","7","8","9","5","A","2, 4, 6, 8 are even. 7 is odd.","TRUE"
"Basic","Which is the odd one out: Circle, Square, Triangle, Pentagon, Star?","Rhombus","Hexagon","Circle","45","C","Circle has no sides; others have sides.","TRUE"
"Basic","Which is the odd one out: 1, 3, 5, 7, 10?","6","10","15","9","B","1, 3, 5, 7 are odd. 10 is even.","TRUE"
"Basic","Which is the odd one out: Red, Blue, Green, Yellow, Square?","Green","Blue","Yellow","Square","D","Red, Blue, Green, Yellow are colors. Square is a shape.","TRUE"
"Basic","Which is the odd one out: 4, 16, 25, 36, 49?","49","16","25","4","D","16, 25, 36, 49 are perfect squares (4², 5², 6², 7²). 4 is 2² but smaller.","TRUE"
"Basic","Which is the odd one out: Star, Circle, Square, Triangle, Hexagon?","Star","3","Circle","5","A","Star is not a regular polygon; others are.","TRUE"
"Basic","Which is the odd one out: 2, 6, 12, 20, 30?","5","18","2","8","C","Differences: 4, 6, 8, 10 increase by 2. 2 is not part of this pattern.","TRUE"
"Basic","Which is the odd one out: Filled, Empty, Filled, Empty, Red?","Red","Square","5","8","A","Filled, Empty are states. Red is a color.","TRUE"
"Basic","Which is the odd one out: 1, 4, 9, 16, 24?","24","25","36","8","A","1, 4, 9, 16 are squares (1², 2², 3², 4²). 24 is not.","TRUE"
"Basic","Which is the odd one out: Triangle, Square, Pentagon, Circle, Hexagon?","7","Circle","6","Square","B","Circle has no sides; others have sides.","TRUE"
"Basic","Which is the odd one out: 3, 6, 9, 12, 14?","8","15","14","6","C","3, 6, 9, 12 are multiples of 3. 14 is not.","TRUE"
"Basic","Which is the odd one out: Blue, Green, Yellow, Red, Triangle?","Blue","Hexagon","Triangle","5","C","Blue, Green, Yellow, Red are colors. Triangle is a shape.","TRUE"
"Basic","Which is the odd one out: 2, 8, 18, 32, 50?","32","2","18","50","B","2, 8, 18, 32, 50 are 1²+1, 2²+4, 3²+9, 4²+16, 5²+25. 2 deviates slightly.","TRUE"
"Basic","Which is the odd one out: Pentagon, Hexagon, Heptagon, Octagon, Circle?","Pentad","Hexadecagon","Heptadecagon","Circle","D","Circle has no sides; others are polygons.","TRUE"
"Basic","Which is the odd one out: 5, 10, 15, 20, 22?","17","21","22","10","C","5, 10, 15, 20 are multiples of 5. 22 is not.","TRUE"
"Basic","Which is the odd one out: Star, Filled Circle, Empty Circle, Square, Triangle?","Filled Square","Triangle with 4 sides","55","Star","D","Star is not a regular shape; others are.","TRUE"
"Basic","Which is the odd one out: 1, 2, 4, 7, 8?","8","7","2","4","B","1, 2, 4, 8 are powers of 2 (2⁰, 2¹, 2², 2³). 7 is not.","TRUE"
"Basic","Which is the odd one out: Red, Blue, Green, Circle, Yellow?","Triangle","Orange","75","Circle","D","Red, Blue, Green, Yellow are colors. Circle is a shape.","TRUE"
"Basic","Which is the odd one out: 3, 9, 27, 81, 82?","27 rotated 90 degrees clockwise","63","81","82","D","3, 9, 27, 81 are powers of 3 (3¹, 3², 3³, 3⁴). 82 is not.","TRUE"
"Basic","Which is the odd one out: Square, Triangle, Pentagon, Hexagon, Star?","Rhombus","Octagon","Circle","Star","D","Star is not a regular polygon; others are.","TRUE"
"Intermediate","Find the next number: 1, 3, 6, 10, 15, __","17","21","25","42","B","Differences: 3 - 1 = 2, 6 - 3 = 3, 10 - 6 = 4, 15 - 10 = 5. Differences increase by 1.  
   Next difference = 6. Next: 15 + 6 = 21.","TRUE"
"Intermediate","Find the next number: 2, 5, 11, 23, 47, __","47 * 2 + 2 = 96","47 * 2 - 4 = 90","47 / 2 + 47 = 47","95","D","Each number is obtained by doubling the previous and adding 1: 2 × 2 + 1 = 5, 5 × 2 + 1 = 11, 11 × 2 + 1 = 23, 23 × 2 + 1 = 47.  
   Next: 47 × 2 + 1 = 95.","TRUE"
"Intermediate","Find the next number: 1, 4, 10, 22, 46, __","46 + 18 = 64","46 + 16 = 62","94","46 + 14 = 60","C","Each number is obtained by doubling the previous and adding a sequence of 2, 2, 2, 2, ...:  
   1 × 2 + 2 = 4, 4 × 2 + 2 = 10, 10 × 2 + 2 = 22, 22 × 2 + 2 = 46.  
   Next: 46 × 2 + 2 = 94.","TRUE"
"Intermediate","Find the next number: 3, 6, 12, 21, 33, __","33 + 18 = 51","48","12 + 9 = 21","21 + 12 = 33","B","Differences: 3, 6, 9, 12. Differences increase by 3. Next difference = 15.  
   Next: 33 + 15 = 48.","TRUE"
"Intermediate","Find the next number: 2, 8, 18, 32, 50, __","62","72","52","82","B","Numbers follow: 1² + 1, 2² + 4, 3² + 9, 4² + 16, 5² + 25. Next: 6² + 36 = 36 + 36 = 72.","TRUE"
"Intermediate","Find the next number: 100, 96, 88, 76, 60, __","22","50","40","35","C","Differences: -4, -8, -12, -16. Differences decrease by 4. Next difference = -20.  
   Next: 60 - 20 = 40.","TRUE"
"Intermediate","Find the next number: 1, 2, 6, 24, 120, __","1200","504","7200","720","D","Each number is multiplied by increasing integers: 1 × 1 = 1, 1 × 2 = 2, 2 × 3 = 6, 6 × 4 = 24, 24 × 5 = 120.  
   Next: 120 × 6 = 720.","TRUE"
"Intermediate","Find the next number: 5, 7, 11, 19, 35, __","35 -> 19 + 16 (INCORRECT - wrong sequence)","67","67 -> 35 + 32 (INCORRECT - incorrect operation)","59 -> 35 + 24 (INCORRECT - calculation mistake)","B","Each number is obtained by adding increasing primes: 5 + 2 = 7, 7 + 4 = 11, 11 + 8 = 19, 19 + 16 = 35.  
   Next prime = 5 (doubled: 32). Next: 35 + 32 = 67.","TRUE"
"Intermediate","Find the next number: 4, 9, 25, 64, 144, __","361","289","22","81","B","Numbers are: 2², 3², 5², 8², 12². Bases: 2, 3, 5, 8, 12. Differences: 1, 2, 3, 4. Next base = 12 + 5 = 17.  
   Next: 17² = 289.","TRUE"
"Intermediate","Find the next number: 1, 5, 14, 30, 54, __","23","85","86","97","C","Differences: 4, 9, 16, 24. Second differences: 5, 7, 8. Next second difference ≈ 8.  
    Next difference = 24 + 8 = 32. Next: 54 + 32 = 86.","TRUE"
"Intermediate","Find the next number: 3, 12, 27, 48, 75, __","90","72","27","108","D","Numbers are: 1 × 3, 2 × 6, 3 × 9, 4 × 12, 5 × 15. Multipliers: 3, 6, 9, 12, 15 (+3).  
    Next: 6 × 18 = 108.","TRUE"
"Intermediate","Find the next number: 2, 3, 7, 22, 78, __","23","391","67","5","B","Each number is obtained by multiplying by increasing integers and adding 1:  
    2 × 1 + 1 = 3, 3 × 2 + 1 = 7, 7 × 3 + 1 = 22, 22 × 4 + 1 = 89.  
    Next: 78 × 5 + 1 = 391.","TRUE"
"Intermediate","Find the next number: 10, 20, 35, 55, 80, __","10 * 2 = 20","80 + 15 = 95","110","25 + 55 = 80","C","Differences: 10, 15, 20, 25. Differences increase by 5. Next difference = 30.  
    Next: 80 + 30 = 110.","TRUE"
"Intermediate","Find the next number: 1, 6, 16, 31, 51, __","76","81","46","7","A","Differences: 5, 10, 15, 20. Differences increase by 5. Next difference = 25.  
    Next: 51 + 25 = 76.","TRUE"
"Intermediate","Find the next number: 4, 16, 36, 64, 100, __","250","22","85","144","D","Numbers are: 2², 4², 6², 8², 10². Next: 12² = 144.","TRUE"
"Intermediate","Find the next number: 2, 4, 10, 28, 82, __","82 × 3 + 2 = 246","82 × 3 - 4 = 242","28 × 3 - 2 = 82","244","D","Each number is obtained by multiplying by 3 and subtracting 2:  
    2 × 3 - 2 = 4, 4 × 3 - 2 = 10, 10 × 3 - 2 = 28, 28 × 3 - 2 = 82.  
    Next: 82 × 3 - 2 = 244.","TRUE"
"Intermediate","Find the next number: 1, 3, 7, 15, 31, __","62","255","63","47","C","Each number is doubled and increased by 1: 1 × 2 + 1 = 3, 3 × 2 + 1 = 7, 7 × 2 + 1 = 15, 15 × 2 + 1 = 31.  
    Next: 31 × 2 + 1 = 63.","TRUE"
"Intermediate","Find the next number: 5, 10, 25, 80, 305, __","2197","1373","6546","1121","B","Each number is multiplied by increasing factors: 5 × 2 = 10, 10 × 2.5 = 25, 25 × 3.2 = 80, 80 × 3.8125 = 305.  
    Next factor ≈ 4.5. Next: 305 × 4.5 = 1372.5 ≈ 1373.","TRUE"
"Intermediate","Find the next number: 2, 5, 9, 14, 20, __","22","27","35","13","B","Differences: 3, 4, 5, 6. Differences increase by 1. Next difference = 7.  
    Next: 20 + 7 = 27.","TRUE"
"Intermediate","Find the next number: 100, 98, 93, 85, 74, __","73","67","60","92","C","Differences: -2, -5, -8, -11. Differences decrease by 3. Next difference = -14.  
    Next: 74 - 14 = 60.","TRUE"
"Intermediate","A square rotates 90° clockwise and adds one small square inside each step: 1, 2, 3, __. What is the next number of small squares?","2 small squares","5 small squares","3 small squares","4 small squares","D","Small squares increase by 1: 1, 2, 3. Next: 3 + 1 = 4.","TRUE"
"Intermediate","A triangle alternates colors (Red, Blue) and rotates 120° clockwise. After three steps, what is the color and rotation?","Blue, 120° rotation","Blue, 60° rotation","Red, 0° rotation","Red, 240° rotation","C","Colors: Red, Blue, Red. Rotation: 120° × 3 = 360° = 0°.","TRUE"
"Intermediate","A sequence of circles doubles and alternates fill: Filled (1), Empty (2), Filled (4), __. What is the next state and number?","Filled, 8 circles","Empty, 6 circles","Empty, 8 circles","Filled, 16 circles","C","Number doubles: 1, 2, 4, 8. Fill alternates: Filled, Empty, Filled, Empty.","TRUE"
"Intermediate","A pentagon increases sides by 1 and rotates 72° anticlockwise each step: Pentagon, Hexagon, Heptagon, __. What is the next shape and rotation?","Octagon, 288° anticlockwise","Octadecagon, 36° anticlockwise","Hexadecagon, 288° clockwise","Heptadecagon, 144° anticlockwise","A","Sides: 5, 6, 7, 8 (Octagon). Rotation: 72° × 4 = 288° anticlockwise.","TRUE"
"Intermediate","A sequence alternates shapes and colors: Circle (Red), Square (Blue), Circle (Red), Square (Blue), __. What is the next shape and color?","Square, Blue","Circle, Red","Circle, Blue","Square, Red","B","Pattern alternates: Circle (Red), Square (Blue). Next: Circle (Red).","TRUE"
"Intermediate","A rectangle doubles length and halves width: 2×4, 4×2, 8×1, __. What is the next rectangle?","16×0.25","8×0.25","16×0.5","4×0.5","C","Length: 2, 4, 8, 16. Width: 4, 2, 1, 0.5. Next: 16×0.5.","TRUE"
"Intermediate","A sequence of triangles adds one and alternates fill: 1 (Filled), 2 (Empty), 3 (Filled), __. What is the next number and state?","4 triangles, Empty","5 triangles, Filled","7 triangles, Filled","6 triangles, Empty","A","Number: 1, 2, 3, 4. Fill alternates: Filled, Empty, Filled, Empty.","TRUE"
"Intermediate","A square increases side length by 2 and rotates 45° clockwise: 2×2, 4×4, 6×6, __. What is the next square and rotation?","6×6, 0° clockwise","8×8, 45° clockwise","8×8, 180° clockwise","8×8, 270° clockwise","C","Side: 2, 4, 6, 8. Rotation: 45°, 90°, 135°, 180°.","TRUE"
"Intermediate","A sequence cycles colors (Red, Blue, Green) and shapes (Circle, Square): Circle (Red), Square (Blue), Circle (Green), Square (Red), Circle (Blue), __. What is the next shape and color?","55, Yellow","Square, Green","78, Purple","Triangle, Blue","B","Shapes alternate: Circle, Square. Colors cycle: Red, Blue, Green. Next: Square (Green).","TRUE"
"Intermediate","A circle is divided into sectors: 2, 4, 8, 16, __. What is the next number, and if it rotates 90° clockwise per step, what is the rotation?","8 sectors, 90° clockwise","16 sectors, 90° clockwise","32 sectors, 90° clockwise","32 sectors, 0°","C","Sectors double: 2, 4, 8, 16, 32. Rotation: 90° × 5 = 450° = 90°.","TRUE"
"Intermediate","A sequence alternates shapes: Star (Filled), Circle (Empty), Star (Filled), Circle (Empty), __. What is the next shape and state?","Star, Filled","Star, Empty","Circle, Empty","Circle, Filled","A","Pattern alternates: Star (Filled), Circle (Empty). Next: Star (Filled).","TRUE"
