"Level","Topic","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review"
"Basic","Data Structures","What is the time complexity of deleting the last node in a singly linked list with n nodes?","O(n)","O(1)","O(2^n)","O(n log n)","A","Traverse to the second-to-last node to update the pointer: O(n).","TRUE"
"Basic","Data Structures","In a stack, after push(1), push(2), pop(), push(3), what is the top element?","1","None","3","2","C","Stack (LIFO): Push 1, 2. Pop removes 2. Push 3. Top: 3.","TRUE"
"Basic","Data Structures","What is the time complexity of searching in a binary search tree with n nodes (balanced)?","O(log n)","O(n log n)","O(n)","O(n²)","A","Balanced BST search follows height, which is O(log n).","TRUE"
"Basic","Data Structures","In Python, what is the output?
s = {1, 2, 3};
s.add(4);
print(s)","{1, 2, 3, 5}","{1, 2, 3, 4, 5}","{1, 2, 3, 4}","{1, 2, 3, 1}","C","add(4) adds 4 to the set. New set: {1, 2, 3, 4}.","TRUE"
"Basic","Data Structures","What is the space complexity of storing a binary tree with n nodes?","O(n)","O(1)","O(n²)","O(n log n)","A","Each node stores data and two pointers, total O(n) space.","TRUE"
"Basic","Data Structures","In a queue, after enqueue(1, 2), dequeue(), enqueue(3, 4), dequeue(), what is the front element?","3","None","1","4","A","Enqueue 1, 2. Dequeue removes 1. Enqueue 3, 4. Dequeue removes 2. Front: 3.","TRUE"
"Basic","Data Structures","What is the time complexity of inserting a key into a hash table (average case)?","O(1)","O(log n)","O(n log n)","O(n)","A","Average case with good hash function: O(1) for insertion.","TRUE"
"Basic","Data Structures","In Python, what is the output?
x = [1, 2, 3];
x.remove(2);
print(x)","[1, 3]","[3, 1, 2]","[1]","[1, 2, 3]","A","remove(2) deletes the first occurrence of 2. New list: [1, 3].","TRUE"
"Basic","Data Structures","What is the maximum number of nodes in a binary tree of height h?","2^(h)","2^h + 1","2^(h-1)","2^(h+1) - 1","D","Maximum nodes = 2^(h+1) - 1 (sum of nodes from level 0 to h).","TRUE"
"Basic","Algorithms","What is the time complexity of bubble sort for n elements?","O(n²)","O(1)","O(n log n)","O(n)","A","Bubble sort compares and swaps in nested loops: O(n²).","TRUE"
"Basic","Algorithms","In Python, what is the output of this linear search?
x = [3, 1, 4];
print(x.index(4))","2","5","0","1","A","index(4) returns the first index of 4, which is 2.","TRUE"
"Basic","Algorithms","What is the time complexity of binary search on a sorted array of n elements?","O(n)","O(log n)","O(n log n)","O(1)","B","Binary search halves the search space each step: O(log n).","TRUE"
"Basic","Algorithms","What is the output of this C code for factorial?
int fact(int n) { if(n == 0) return 1;
    return n * fact(n-1);
}
printf(""%d"", fact(3));","5","0","22","6","D","fact(3) = 3 × fact(2) = 3 × 2 × fact(1) = 3 × 2 × 1 = 6.","TRUE"
"Basic","Algorithms","What is the space complexity of a recursive factorial algorithm?","O(1)","O(2^n)","O(n log n)","O(n)","D","Recursive factorial uses O(n) stack space for n calls.","TRUE"
"Basic","Algorithms","In Python, what is the output?
x = [5, 2, 8];
print(sorted(x))","[2, 5, 8]","[8, 2, 5]","[5, 2, 8]","[2, 8, 5]","A","sorted(x) returns a new sorted list: [2, 5, 8].","TRUE"
"Basic","Algorithms","What is the time complexity of finding the maximum element in an unsorted array of n elements?","O(n log n)","O(n)","O(n!)","O(1)","B","Scan all elements: O(n).","TRUE"
"Basic","Algorithms","In C, what is the output of this sum code?
int sum(int n) { if(n == 0) return 0;
    return n + sum(n-1);
}
printf(""%d"", sum(4));","10","1","5","22","A","sum(4) = 4 + sum(3) = 4 + 3 + sum(2) = 4 + 3 + 2 + sum(1) = 4 + 3 + 2 + 1 = 10.","TRUE"
"Basic","Algorithms","What is the time complexity of selection sort for n elements?","O(n)","O(n²)","O(1)","O(n log n)","B","Selection sort finds the minimum in each pass: O(n²).","TRUE"
"Basic","Algorithms","In Python, what is the output?
x = [1, 2, 3];
print(x[::-1])","[3, 2, 1]","[2, 3, 1]","[1, 2, 2]","[3, 3, 2]","A","Slicing [::-1] reverses the list: [3, 2, 1].","TRUE"
"Basic","Algorithms","What is the time complexity of checking if an element exists in a sorted array using binary search?","O(log n)","O(1)","O(n)","O(n log n)","A","Binary search: O(log n).","TRUE"
"Basic","Algorithms","In C++, what is the output?
int x = 5;
for(int i = 1; i <= 3; i++) x += i;
cout << x;","15","11","20","9","B","Loop: x = 5 + 1 + 2 + 3 = 11.","TRUE"
"Basic","Algorithms","What is the space complexity of bubble sort?","O(n log n)","O(n²)","O(1)","O(n)","C","Bubble sort uses a constant amount of extra space: O(1).","TRUE"
"Basic","Algorithms","In Python, what is the output?
x = [1, 2, 3];
print(sum(x))","6","5","22","TypeError","A","sum(x) adds elements: 1 + 2 + 3 = 6.","TRUE"
"Basic","Algorithms","What is the time complexity of inserting an element into a sorted array of n elements?","O(1)","O(n log n log n)","O(n log n)","O(n)","D","Shift elements to make space: O(n).","TRUE"
"Basic","Algorithms","In C, what is the output?
int a = 3, b = 5;
if(a > b) printf(""%d"", a);
else printf(""%d"", b);","5","0","3","22","A","3 > 5 is false, so print b = 5.","TRUE"
"Basic","Algorithms","What is the time complexity of merging two sorted arrays of sizes m and n?","O(m log n)","O(n^2)","O(log m)","O(m + n)","D","Merge process compares and copies: O(m + n).","TRUE"
"Basic","Algorithms","In Python, what is the output?
x = ""abc"";
print(x.upper())","ABC","123","abc","ABCD","A","upper() converts to uppercase: ""ABC"".","TRUE"
"Basic","Algorithms","What is the time complexity of reversing an array of n elements?","O(n²)","O(n)","O(1)","O(n log n)","B","Swap elements from ends to middle: O(n).","TRUE"
"Basic","Algorithms","In C++, what is the output?
int x = 4;
x *= 3;
cout << x;","16","10","12","24","C","x *= 3 means x = x * 3 = 4 * 3 = 12.","TRUE"
"Basic","Database Basics","What does the following code do?
SELECT * FROM table_name;","Omits primary keys","Returns all metadata","Fetches all data","Inserts new records","C","Retrieves all columns and rows from table_name.","TRUE"
"Basic","Database Basics","What is the output?
SELECT name FROM employees WHERE salary > 50000;","Names of employees with salary > 50000","Names of employees with salary < 50000","Names of all employees in the database","Employees with salary >= 50000","A","Returns the name column for rows where salary exceeds 50000.","TRUE"
"Basic","Database Basics","What does the SQL keyword PRIMARY KEY ensure?","Primary constraint","Uniqueness and non-null","Uniqueness and nullability","Unique and nullable","B","Ensures each value in the column is unique and not null.","TRUE"
"Basic","Database Basics","What is the result?
SELECT COUNT(*) FROM students WHERE age = 20;","67890","12345","Number of teachers aged 20","Number of students aged 20","D","Counts the number of rows where age is 20.","TRUE"
"Basic","Database Basics","What does DELETE FROM table_name WHERE id = 1; do?","Updates row with id = 1","Deletes row with id = 1","Deletes row with id = 2","Inserts row with id = 1","B","Removes the row where id equals 1.","TRUE"
"Basic","Database Basics","What is the purpose of the SQL JOIN clause?","Unifies tables","Merges tables","Links datasets","Combines tables","B","Combines rows from two or more tables based on a related column.","TRUE"
"Basic","Database Basics","What does INSERT INTO users (name, age) VALUES ('Alice', 25); do?","Updates the existing schema","Inserts a new user","Creates a new database","Inserts a new record","B","Adds a new row to users with name = 'Alice' and age = 25.","TRUE"
"Basic","Database Basics","What is the output?
SELECT MAX(salary) FROM employees;","Minimum salary","Maximum salary","Average salary","Total salary","B","Returns the highest value in the salary column.","TRUE"
"Basic","Database Basics","What does the SQL WHERE clause do?","SELECTS data","APPLY data","MODIFIES data","Filters data","D","Filters rows based on a specified condition.","TRUE"
"Basic","Database Basics","What is the result?
UPDATE products SET price = 100 WHERE id = 5;","Updates all prices","Updates price for id = 5","Deletes product 5","Updates price for id = 3","B","Sets price to 100 for the row where id is 5.","TRUE"
"Basic","Computer Networks","What is the purpose of the IP address?","Port identification","Device naming","Host address","Device identification","D","Uniquely identifies a device on a network.","TRUE"
"Basic","Computer Networks","What is the port number used by HTTP?","22","443","80","8080","C","HTTP uses port 80 for communication.","TRUE"
"Basic","Computer Networks","What does the acronym TCP stand for?","Transmission Control Network","Transmission Control Protocol","Internet Control Protocol","Transport Control System","B","Transmission Control Protocol, ensures reliable data transfer.","TRUE"
"Basic","Computer Networks","What is the role of DNS in networking?","IP address translation","Domain name registration","Network packet routing","Domain name resolution","D","Translates domain names (e.g., google.com) to IP addresses.","TRUE"
"Basic","Computer Networks","What is the difference between IPv4 and IPv6?","Address length and capacity","Address size and structure","Address length and quantity","Address type and complexity","A","IPv4 uses 32-bit addresses (e.g., 192.168.0.1); IPv6 uses 128-bit addresses for more capacity.","TRUE"
"Basic","Computer Networks","What does the term ""bandwidth"" refer to?","Data transfer rate","Oversampling rate","Signal frequency range","Channel capacity","A","Maximum data transfer rate of a network connection.","TRUE"
"Basic","Computer Networks","What is the purpose of a router in a network?","Routes data","Hides IP addresses","Connects devices","Finds fastest path","A","Forwards data packets between networks.","TRUE"
"Basic","Computer Networks","What is the default subnet mask for a Class C IP address?","255.255.255.0","255.255.255.255","255.255.0.0","128.0.0.0","A","Class C uses 24 bits for the network: 255.255.255.0.","TRUE"
"Basic","Computer Networks","What is the function of the ARP protocol?","Address caching","Dynamic routing","Network discovery","Address resolution","D","Maps IP addresses to MAC addresses.","TRUE"
"Basic","Computer Networks","What does UDP stand for, and how does it differ from TCP?","User Datagram Protocol, less reliable","TCP/IP protocol","User Datagram Protocol, more reliable","Internet Connection Protocol","A","User Datagram Protocol; UDP is faster but less reliable than TCP (no error checking).","TRUE"
"Basic","Operating Systems","What is the role of an operating system?","Resource management","Process scheduling","Memory allocation","I/O management","A","Manages hardware, software, and provides user interface.","TRUE"
"Basic","Operating Systems","What is a process in an operating system?","Running process instance","System service call","Executing program","Executing thread","C","A program in execution, with its own memory and resources.","TRUE"
"Basic","Operating Systems","What is the purpose of a scheduler in an OS?","Process management","CPU allocation","Thread handling","Resource allocation","B","Allocates CPU time to processes for efficient execution.","TRUE"
"Basic","Operating Systems","What is a deadlock in an operating system?","Circular waiting condition","Resource contention lock","Resource starvation mode","Resource conflict standstill","D","A situation where processes hold resources and wait for others, causing a standstill.","TRUE"
"Basic","Operating Systems","What does the term ""virtual memory"" refer to?","Memory Swap","O/S","Paging System","Extended memory","D","Uses disk space to extend RAM, allowing larger programs to run.","TRUE"
"Basic","Operating Systems","What is the function of a file system in an OS?","Data organization","Data caching mechanism","File storage optimization","File hierarchy management","A","Organizes and manages data storage on disks.","TRUE"
"Basic","Operating Systems","What is a thread in an operating system?","Cooperative process","User-level process","Lightweight process","Kernel-level thread","C","A lightweight process sharing the same memory space as its parent process.","TRUE"
"Basic","Operating Systems","What is the purpose of an interrupt in an OS?","Event handling","Process synchronization","System call handling","Context switching","A","Signals the CPU to handle an urgent event (e.g., hardware input).","TRUE"
"Basic","Operating Systems","What is the difference between a kernel and a shell?","Kernel: core, Shell: interface","Kernel: interface","Kernel: framework","Kernel: core","A","Kernel manages system resources; shell is the user interface to interact with the OS.","TRUE"
"Basic","Operating Systems","What is the role of a page table in virtual memory?","O(n)","Address mapping","Page Replacement Algorithm","Segmentation","B","Maps virtual addresses to physical addresses.","TRUE"
"Basic","AI/ML Foundations","What is supervised learning in machine learning?","Learning from labeled examples","Learning with unlabeled data","Learning with labeled data","Model-driven inference","C","Model trains on labeled data (input-output pairs) to predict outputs.","TRUE"
"Basic","AI/ML Foundations","What is the purpose of a loss function in ML?","Cost function optimization","Model evaluation","Error measurement","Error minimization","C","Measures the error between predicted and actual outputs to guide optimization.","TRUE"
"Basic","AI/ML Foundations","What is overfitting in machine learning?","Over fitting","Excessive training fit","Model overreach","Pattern matching","B","Model learns training data too well, including noise, and performs poorly on new data.","TRUE"
"Basic","AI/ML Foundations","What is the role of a feature in ML?","Input variable","Hyperparameter","Activation function","O(1) time complexity","A","An input variable used to make predictions.","TRUE"
"Basic","AI/ML Foundations","What is the purpose of splitting data into training and testing sets?","Model optimization and deployment","Overfitting and validation","Model training and evaluation","Cross-validation and bias","C","Training set trains the model; testing set evaluates its performance on unseen data.","TRUE"
"Basic","AI/ML Foundations","What is a neuron in a neural network?","Synaptic node","Signal processor","Artificial neuron","Computational unit","D","A computational unit that processes inputs, applies weights, and produces an output.","TRUE"
"Basic","AI/ML Foundations","What is the activation function in a neural network?","Activation Gate","Non-linearity function","Sigmoid function","ReLU function","B","Introduces non-linearity to decide whether a neuron should activate.","TRUE"
"Basic","AI/ML Foundations","What is gradient descent in ML?","Model overfitting","Local minimum search","O(n)","Parameter optimization","D","Optimization algorithm to minimize the loss function by adjusting model parameters.","TRUE"
"Basic","AI/ML Foundations","What is unsupervised learning in ML?","Learning without labels","Learning with weak labels","Self-supervised clustering","Unsupervised regression","A","Model finds patterns in unlabeled data without predefined outputs.","TRUE"
"Basic","AI/ML Foundations","What is the purpose of normalization in ML?","Feature scaling","Data augmentation","Feature selection","O(1)","A","Scales features to a standard range to improve model performance.","TRUE"
"Intermediate","Programming Fundamentals","What is the output of this C code?
int x = 5;
printf(""%d %d"", x++, ++x);","6 7","6 6","8 6","5 6","B","In printf, arguments are evaluated right-to-left. ++x increments x to 6, then x++ uses 6 and increments x to 7. Output: 6 6.","TRUE"
"Intermediate","Programming Fundamentals","In Python, what is the output?
x = [1, 2, 3];
y = x;
y[0] = 4;
print(x)","[4, 4, 3]","[4, 2, 2]","[1, 4, 3]","[4, 2, 3]","D","y = x creates a reference to the same list. Modifying y[0] changes x. Output: [4, 2, 3].","TRUE"
"Intermediate","Programming Fundamentals","In Java, what is the output?
String s = ""hello"";
s = s.concat("" world"");
System.out.println(s);","hello world concatenated","hello world appended","hello world","string s not modified","C","concat creates a new string ""hello world"". Output: hello world.","TRUE"
"Intermediate","Programming Fundamentals","In C++, what is the output?
int x = 10;
cout << (x > 5 ? x : 5);","5","0","10","25","C","Ternary operator: x > 5 is true, so prints x = 10.","TRUE"
"Intermediate","Programming Fundamentals","In Python, what is the output?
def f(x): x += 1;
x = 5;
f(x);
print(x)","5","O(1)","0","2","A","Python passes integers by value. x inside f is local. Output: 5.","TRUE"
"Intermediate","Programming Fundamentals","In C, what is the output?
int x = 10;
printf(""%d"", x << 2);","20","0","40","80","C","x << 2 left-shifts 10 (binary 1010) to 101000 (40).","TRUE"
"Intermediate","Programming Fundamentals","In Java, what is the output?
int[] arr = {1, 2, 3};
System.out.println(arr[arr.length - 1]);","3","0","5","1","A","arr.length - 1 = 2. arr[2] = 3.","TRUE"
"Intermediate","Programming Fundamentals","In Python, what is the output?
x = {1: 'a', 2: 'b'};
x.update({2: 'c'});
print(x)","{3: 'c', 4: 'a'}","{1: 'a', 2: 'b'}","{1: 'a', 2: 'b', 3: 'c'}","{1: 'a', 2: 'c'}","D","update modifies key 2 to 'c'. Output: {1: 'a', 2: 'c'}.","TRUE"
"Intermediate","Programming Fundamentals","In C++, what is the output?
int x = 5;
for(int i = 0; i < 3; i++) x *= 2;
cout << x;","20","40","80","64","B","Loop: x = 5 * 2 * 2 * 2 = 40.","TRUE"
"Intermediate","Programming Fundamentals","In C, what is the output?
int a = 7, b = 3;
printf(""%d"", a ^ b);","1","10","4","6","C","a ^ b: 7 (binary 111) XOR 3 (binary 011) = 100 (4).","TRUE"
"Intermediate","Programming Fundamentals","In Python, what is the output?
x = [1, 2, 3];
print(x[1:3])","[2, 3, 4]","[1, 2]","[1, 3]","[2, 3]","D","Slicing [1:3] includes indices 1 to 2: [2, 3].","TRUE"
"Intermediate","Programming Fundamentals","In Java, what is the output?
int x = 15;
System.out.println(x & (x - 1));","7","14","0","15","B","x & (x - 1) clears the least significant set bit. 15 (binary 1111) & 14 (binary 1110) = 1110 (14).","TRUE"
"Intermediate","Programming Fundamentals","In C++, what is the output?
string s = ""abc"";
reverse(s.begin(), s.end());
cout << s;","bca","abc","cba","cbaabc","C","reverse reverses the string: ""abc"" becomes ""cba"".","TRUE"
"Intermediate","Programming Fundamentals","In Python, what is the output?
x = lambda a: a * 2;
print(x(3))","6","None","7","22","A","Lambda function doubles input: 3 * 2 = 6.","TRUE"
"Intermediate","Programming Fundamentals","In C, what is the output?
int x = 5;
printf(""%d"", ~x);","8","10","2147483640","-6","D","~x inverts bits of 5 (binary 00000101) to 11111010 (two’s complement, -6).","TRUE"
"Intermediate","Programming Fundamentals","In Java, what is the output?
int x = 8;
System.out.println(x >> 1);","4","2","0","1","A","x >> 1 right-shifts 8 (binary 1000) to 0100 (4).","TRUE"
"Intermediate","Programming Fundamentals","In Python, what is the output?
x = [1, 2];
y = x.copy();
y[0] = 3;
print(x)","[1, 3]","[1, 2, 3]","[1, 2]","[3, 2]","C","copy() creates a shallow copy. Modifying y doesn’t affect x. Output: [1, 2].","TRUE"
"Intermediate","Programming Fundamentals","In C++, what is the output?
int x = 3;
cout << (x << 1) + (x >> 1);","3","7","x + 1","O(2^n)","B","x << 1 = 3 * 2 = 6. x >> 1 = 3 / 2 = 1. 6 + 1 = 7.","TRUE"
"Intermediate","Programming Fundamentals","In C, what is the output?
int arr[3] = {1, 2, 3};
printf(""%d"", *(arr + 1));","1","2","0","3","B","*(arr + 1) accesses arr[1] = 2.","TRUE"
"Intermediate","Programming Fundamentals","In Python, what is the output?
x = [1, 2, 3];
print(list(map(lambda x: x**2, x)))","[1, 4, 9]","[1, 4, 8]","[9, 4, 1]","[1, 16, 9]","A","map applies square function: [1², 2², 3²] = [1, 4, 9].","TRUE"
"Intermediate","Data Structures","What is the time complexity of inserting a node at the end of a singly linked list with n nodes?","O(n)","O(n log n)","O(n²)","O(1)","A","Traverse to the end to update the pointer: O(n).","TRUE"
"Intermediate","Data Structures","In Python, what is the output of this stack operation?
s = [];
s.append(1);
s.append(2);
s.append(3);
s.pop();
s.pop();
print(s)","[2]","[1, 2]","[3]","[1]","D","Stack (LIFO): Push 1, 2, 3. Pop removes 3, then 2. Stack: [1].","TRUE"
"Intermediate","Data Structures","In a doubly linked list, what is the time complexity to delete a node given its pointer?","O(n)","O(n log n)","O(1)","O(n²)","C","Update prev/next pointers of adjacent nodes: O(1).","TRUE"
"Intermediate","Data Structures","In a queue, after enqueue(1, 2, 3), dequeue(), enqueue(4), dequeue(), what is the front element?","4","2","3","1","C","Queue (FIFO): Enqueue 1, 2, 3. Dequeue removes 1. Enqueue 4. Dequeue removes 2. Front: 3.","TRUE"
"Intermediate","Data Structures","What is the time complexity of searching in an unbalanced binary search tree with n nodes?","O(1)","O(n)","O(n log n)","O(log n)","B","Worst case (skewed tree) resembles a linked list: O(n).","TRUE"
"Intermediate","Data Structures","In Python, what is the output?
from collections import deque;
q = deque([1, 2]);
q.append(3);
q.popleft();
print(q)","deque([2])","deque([3])","deque([1, 2, 3])","deque([2, 3])","D","Deque: Append 3, popleft removes 1. Deque: [2, 3].","TRUE"
"Intermediate","Data Structures","What is the time complexity of inserting an element in a min-heap with n elements?","O(log n)","O(n)","O(1)","O(n log n)","A","Insert at bottom, bubble up to restore heap property: O(log n).","TRUE"
"Intermediate","Data Structures","In a binary tree, what is the time complexity of finding the height?","O(1)","O(log n)","O(n²)","O(n)","D","Recursively visit all nodes: O(n).","TRUE"
"Intermediate","Data Structures","In Python, what is the output?
d = {'a': 1, 'b': 2};
d.pop('a');
print(d)","{'b': 1}","{'b': 2}","{'b': 2, 'a': 1}","{'a': 1}","B","pop('a') removes key 'a'. Output: {'b': 2}.","TRUE"
"Intermediate","Data Structures","What is the time complexity of deleting the root of a max-heap with n elements?","O(n)","O(1)","O(log n)","O(n log n)","C","Replace root with last element, bubble down: O(log n).","TRUE"
"Intermediate","Data Structures","In a circular linked list, what is the time complexity to insert a node after a given node?","O(n²)","O(log n)","O(n)","O(1)","D","Update pointers of given and next node: O(1).","TRUE"
"Intermediate","Data Structures","In Python, what is the output?
s = {1, 2, 3};
s.discard(2);
print(s)","{1}","{1, 3}","{1, 4}","{1, 2, 3}","B","discard(2) removes 2. Output: {1, 3}.","TRUE"
"Intermediate","Data Structures","In a binary search tree, what is the time complexity to find the minimum element?","O(1)","O(n)","O(log n) (balanced)","O(n log n)","C","Traverse to the leftmost node: O(h), where h is height (O(log n) if balanced).","TRUE"
"Intermediate","Data Structures","What is the space complexity of a depth-first search (DFS) on a binary tree with n nodes?","O(n)","O(n log n)","O(n²)","O(log n) (balanced)","D","Recursion stack uses O(h), where h is height (O(log n) if balanced).","TRUE"
"Intermediate","Data Structures","In Python, what is the output?
x = [[1, 2], [3, 4]];
x[0].append(5);
print(x)","[1, 2, 3, 4, 5]","[[1, 2], [3, 4], [5]]","[[1, 2, 5, 5], [3, 4]]","[[1, 2, 5], [3, 4]]","D","Append 5 to x[0]. Output: [[1, 2, 5], [3, 4]].","TRUE"
"Intermediate","Data Structures","What is the time complexity of level-order traversal (BFS) of a binary tree with n nodes?","O(n)","O(n²)","O(n log n)","O(1)","A","Visit all nodes using a queue: O(n).","TRUE"
"Intermediate","Data Structures","In a hash table with chaining, what is the average time complexity for search with n elements and m buckets?","O(m)","O(n)","O(n^2)","O(1) (assuming m ≈ n)","D","Average chain length = n/m. Search: O(n/m). If m ≈ n, O(1).","TRUE"
"Intermediate","Data Structures","In Python, what is the output?
from collections import Counter;
c = Counter([1, 2, 2, 3]);
print(c[2])","""two""","1","2","None","C","Counter counts occurrences. c[2] = 2 (two 2s).","TRUE"
"Intermediate","Data Structures","What is the time complexity to check if a binary tree is balanced?","O(n)","O(n log n)","O(1)","O(n²)","A","Compute height of each subtree, check difference: O(n).","TRUE"
"Intermediate","Data Structures","In a stack, after push(1, 2, 3), pop(), push(4), pop(), what is the top element?","4","2","1","3","B","Stack: Push 1, 2, 3. Pop removes 3. Push 4. Pop removes 4. Top: 2.","TRUE"
"Intermediate","Algorithms","What is the time complexity of merge sort for n elements?","O(n²)","O(n)","O(n log n)","O(log n)","C","Divide and merge: O(n log n).","TRUE"
