"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution"
"Basic","A pen is sold for $8 at a loss of 20%. Find the cost price.","11","9","20","10","D","Let Cost Price be \( x \). Then, Selling Price = 80% of \( x \).  
    \( 0.8x = 8 \), so \( x = 8 / 0.8 = 10 \)."
"Basic","If an article is sold for $300 with a 50% profit, what is the cost price?","200","400","180","220","A","Let Cost Price be \( x \). Then, Selling Price = \( x + 0.5x = 1.5x \).  
    \( 1.5x = 300 \), so \( x = 300 / 1.5 = 200 \)."
"Basic","A shirt is bought for $50 and sold for $60. What is the profit percentage?","18","20%","22","40","B","Profit = 60 - 50 = 10.  
    Profit % = (10 / 50) × 100 = 20%."
"Basic","If the selling price is $90 and loss is 10%, find the cost price.","200","90","110","100","D","Let Cost Price be \( x \). Then, \( 0.9x = 90 \).  
    \( x = 90 / 0.9 = 100 \)."
"Basic","An item is bought for $400 and sold at a 15% profit. Find the selling price.","920","414","460","506","C","Profit = 15% of 400 = 0.15 × 400 = 60.  
    Selling Price = 400 + 60 = 460."
"Basic","A watch is sold for $200 at a 25% loss. What is the cost price?","240.00","293.34","533.34","266.67","D","Let Cost Price be \( x \). Then, \( 0.75x = 200 \).  
    \( x = 200 / 0.75 = 800 / 3 \approx 266.67 \)."
"Basic","If profit is $40 and cost price is $160, find the profit percentage.","25%","50","28","22","A","Profit % = (40 / 160) × 100 = 25%."
"Basic","A can do a work in 10 days. How much work does A do in 1 day?","1/10","0.0","1.0","0.2","A","Work done by A in 1 day = 1/10."
"Basic","B completes a task in 15 days. What is B’s work rate per day?","1/15","0.0600","0.0733","0.1333","A","Work rate = 1/15."
"Basic","If C can finish a job in 20 days, how many days will C take to do 1/4 of the job?","10.0","4.5","5.5","5 days","D","Work rate of C = 1/20 per day.  
    For 1/4 of the job: Time = (1/4) / (1/20) = 1/4 × 20 = 5 days."
"Basic","A worker can paint a wall in 12 hours. How much of the wall is painted in 3 hours?","0.28","0.23","1/4","0.50","C","Work rate = 1/12 per hour.  
    Work done in 3 hours = 3 × (1/12) = 3/12 = 1/4."
"Basic","If a machine can produce 100 units in 5 hours, how many units does it produce in 1 hour?","22.0","20 units","40.0","18.0","B","Production rate = 100 / 5 = 20 units per hour."
"Basic","A can do a work in 8 days. How many days will A take to complete half the work?","8.0","3.6","4 days","4.4","C","Work rate = 1/8 per day.  
    For half the work: Time = (1/2) / (1/8) = 1/2 × 8 = 4 days."
"Basic","If 6 workers complete a task in 12 days, how many days will 1 worker take?","64.8","79.2","144.0","72 days","D","Total work = 6 × 12 = 72 worker-days.  
    1 worker’s time = 72 / 1 = 72 days."
"Basic","A job is done by D in 30 days. What fraction of the job is done in 10 days?","0.6667","0.3000","1/3","0.3667","C","Work rate = 1/30 per day.  
    Work done in 10 days = 10 × (1/30) = 10/30 = 1/3."
"Basic","If E can build a wall in 25 days, how long will it take to build 2/5 of the wall?","9.0","20.0","10 days","11.0","C","Work rate = 1/25 per day.  
    Time for 2/5 of the work = (2/5) / (1/25) = 2/5 × 25 = 10 days."
"Basic","A printer prints 200 pages in 4 hours. How many pages does it print in 1 hour?","50 pages","100.0","55.0","45.0","A","Printing rate = 200 / 4 = 50 pages per hour."
"Basic","A car travels 300 km in 5 hours. What is its speed?","66.0","60 km/h","54.0","120.0","B","Speed = Distance / Time = 300 / 5 = 60 km/h."
"Basic","A train covers 120 km at a speed of 40 km/h. How long does it take?","3 hours","2.7","3.3","6.0","A","Time = Distance / Speed = 120 / 40 = 3 hours."
"Basic","A cyclist travels at 15 km/h. How far does she travel in 4 hours?","60 km","120.0","66.0","54.0","A","Distance = Speed × Time = 15 × 4 = 60 km."
"Basic","A bus travels 200 km in 4 hours. What is its speed in km/h?","100.0","45.0","50 km/h","55.0","C","Speed = 200 / 4 = 50 km/h."
"Basic","If a person walks 24 km in 6 hours, what is the speed?","8.0","4.4","4 km/h","3.6","C","Speed = 24 / 6 = 4 km/h."
"Basic","A car travels at 60 km/h. How long does it take to cover 180 km?","6.0","3.3","2.7","3 hours","D","Time = 180 / 60 = 3 hours."
"Basic","A bike travels 50 km at 25 km/h. Find the time taken.","4.0","2 hours","2.2","1.8","B","Time = 50 / 25 = 2 hours."
"Basic","A runner covers 12 km in 2 hours. What is the speed?","6 km/h","6.6","12.0","5.4","A","Speed = 12 / 2 = 6 km/h."
"Basic","A vehicle travels 400 km in 8 hours. What is its speed?","100.0","50 km/h","45.0","55.0","B","Speed = 400 / 8 = 50 km/h."
"Basic","If a train travels at 80 km/h, how far does it go in 3 hours?","216.0","480.0","264.0","240 km","D","Distance = 80 × 3 = 240 km."
"Basic","If the ratio of two numbers is 2:3 and their sum is 50, find the numbers.","18.0","40.0","20 and 30","22.0","C","Let the numbers be \( 2x \) and \( 3x \).  
    \( 2x + 3x = 50 \), so \( 5x = 50 \), \( x = 10 \).  
    Numbers are \( 2x = 20 \), \( 3x = 30 \)."
"Basic","Divide $120 in the ratio 3:5.","49.5","90.0","45 and $75","40.5","C","Total parts = 3 + 5 = 8.  
    First part = (3/8) × 120 = 45.  
    Second part = (5/8) × 120 = 75."
"Basic","If A:B = 4:7 and B = 14, find A.","7","16","9","8","D","Let A = \( 4x \), B = \( 7x \). Given \( 7x = 14 \), so \( x = 2 \).  
    A = \( 4x = 4 \times 2 = 8 \)."
"Basic","The ratio of ages of two people is 5:6. If the sum of their ages is 44, find their ages.","18.0","20 and 24 years","22.0","40.0","B","Let ages be \( 5x \) and \( 6x \).  
    \( 5x + 6x = 44 \), so \( 11x = 44 \), \( x = 4 \).  
    Ages are \( 5x = 20 \), \( 6x = 24 \)."
"Basic","If 2:5 :: x:20, find x.","16","8","7","9","B","For proportions, \( 2/5 = x/20 \).  
    \( x = (2 \times 20) / 5 = 40 / 5 = 8 \)."
"Basic","Divide 180 in the ratio 1:2:3.","33.0","30, 60, 90","27.0","60.0","B","Total parts = 1 + 2 + 3 = 6.  
    First part = (1/6) × 180 = 30.  
    Second part = (2/6) × 180 = 60.  
    Third part = (3/6) × 180 = 90."
"Basic","If the ratio of two quantities is 3:4 and the smaller quantity is 12, find the larger quantity.","14","32","18","16","D","Let smaller quantity = \( 3x \), larger = \( 4x \).  
    Given \( 3x = 12 \), so \( x = 4 \).  
    Larger quantity = \( 4x = 4 \times 4 = 16 \)."
"Basic","If A:B = 2:3 and B:C = 4:5, find A:C.","16.0","8.8","8:15","7.2","C","Make B common. B = 3 in A:B, B = 4 in B:C.  
    LCM of 3 and 4 = 12.  
    A:B = 2:3 = 8:12 (multiply by 4).  
    B:C = 4:5 = 12:15 (multiply by 3).  
    A:B:C = 8:12:15, so A:C = 8:15."
"Basic","If 3:8 :: 12:x, find x.","29","32","64","35","B","\( 3/8 = 12/x \), so \( x = (8 \times 12) / 3 = 96 / 3 = 32 \)."
"Basic","The ratio of two numbers is 7:9 and their difference is 14. Find the numbers.","98","54","44","49","D","Let numbers be \( 7x \) and \( 9x \).  
    \( 9x - 7x = 14 \), so \( 2x = 14 \), \( x = 7 \).  
    Numbers are \( 7x = 49 \times 7 = 63 \), \( 9x = 63 \).  
    Smaller number = 49."
"Basic","Find the average of 10, 20, 30, 40.","22","50","28","25","D","Average = (10 + 20 + 30 + 40) / 4 = 100 / 4 = 25."
"Basic","The average of 5 numbers is 50. Find their sum.","500","225","275","250","D","Sum = 5 × 50 = 250."
"Basic","The average of 3 numbers is 15. What is their sum?","45","40","50","90","A","Sum = 3 \times 15 = 45."
"Basic","Find the average of 12, 18, 24.","18","20","16","36","A","Average = (12 + 18 + 24) / 3 = 54. / 3 = 18."
"Basic","If the average of 4 numbers is 25, what is the sum of the numbers?","90","100","110","200","B","Sum = 4 × 25 = 100."
"Basic","The average of 7, 14, and 21 is what?","14","13","28","15","A","Average = (7 + 14 + 21) / 3 = 42 / 3 = 14."
"Basic","The average of 5 scores is 20. If one score is 30, what is the sum of the other 4 scores?","70","140","77","63","A","Total sum = 5 × 20 = 100.  
    Sum of other 4 scores = 100 − 30 = 70."
"Basic","Find the average of 5, 10, 15, 20, 25.","30","16","14","15","D","Average = (5 + 10 + 15 + 20 + 25) / 5 = 75 / 5 = 15."
"Basic","The average of 6 numbers is 12. If one number is 18, what is the average of the remaining 5 numbers?","11.9","9.7","21.6","10.8","D","Total sum = 6 \times 12 = 72.  
    Sum of 5 numbers = 72 − 18 = 54.  
    Average = 54 / 5 = 10.8."
"Basic","The average of 4 weights is 50 kg. What is their total weight?","180.0","200 kg","220.0","400.0","B","Total weight = 4 × 50 = 200 kg."
"Basic","Find the simple interest on $1000 at 5% per annum for 2 years.","200","110","90","100","D","Simple Interest = (Principal × Rate × Time) / 100 = (1000 × \5 \times 100) = 100."
"Basic","Calculate the simple interest on $500 at 4% for 3 years.","54","66","60","120","C","SI = (500 \times 4 \times 3) / 100 = 60."
"Basic","If the simple interest on a sum is $120 at 6% for 2 years, find the principal.","2000","900","1000","1100","C","SI = (Principal × Rate × Time) / 100.  
    \( 120 = (P \times 6 \times 2) / 100 \), so \( 120 = P \times 12 / 100 \).  
    \( P = (120 \times 100) / 12 = 1000 \)."
"Basic","Find the simple interest on $2000 at 3% per annum for 5 years.","300","600","270","330","A","SI = (2000 \times 3 \times 5) / 100 = 300 \)."
"Basic","What is the rate if simple interest on $400 is $80 for 4 years?","4","5%","6","10","B","\( 80 = (400 \times R \times 4) / 100 \), so \( 80 = (400 \times R \times 4 / 100 \).  
    \( R = (80 \times 100) / (400 \times 4) = 8000 / 1600 = 5 \)."
"Basic","Find the time if simple interest on $600 is $90 at 5% per annum.","3.3","6.0","3 years","2.7","C","\( 90 = (600 \times 5 \times T) / 100 \), so \( T90 = 600 \times 5 \times T / 100 \).  
    \( T = (90 \times 100) / (600 \times 5) = 9000 / 3000 = 3 \)."
"Basic","Calculate simple interest on $1500 at 7% for 2 years.","420","231","210","189","C","SI = (1500 \times 7 \times 2) / 100 = 210 \)."
"Basic","If simple interest is $200 on a sum at 8% for 5 years, find the principal.","450","1000","550","500","D","\( 200 = (P \times 8 \times 5) / 100 \), so \( P200 = P \times 40 / 100 \).  
    \( P = (200 \times 100) / 40 = 500 \)."
"Basic","Find the simple interest on $800 at 2.5% for 4 years.","80","72","160","88","A","SI = (800 \times 2.5 \times 4) / 100 = 80 \)."
"Basic","What is the principal if simple interest is $75 at 3% for 5 years?","1000","500","550","450","B","\( 75 = (P \times 3 \times 5) / 100 \), so \( P75 = P \times 15 / 100 \).  
    \( P = (75 \times 100) / 15 = 500 \)."
"Basic","What is the sum of the first 5 odd numbers?","28","50","22","25","D","First 5 odd numbers: 1, 3, 5, 7, 9.  
    Sum = 1 + 3 + 5 + 7 + 9 = 25."
"Basic","Find the product of 12 and 5.","120","54","60","66","C","12 × 5 = 60."
"Basic","What is the square of 7?","54","44","49","98","C","\( 7^2 = 7 \times 7 = 49 \)."
"Basic","Find the cube of 4.","70","64","58","128","B","\( 4^3 = 4 \times 4 \times 4 = 64 \)."
"Basic","What is the sum of the first 4 even numbers?","18","20","40","22","B","First 4 even numbers: 2, 4, 6, 8.  
    Sum = 2 + 4 + 6 + 8 = 20."
"Basic","If a number is divisible by both 2 and 3, is it divisible by 6?","Yes1","Yes2","Yes0","Yes","D","A number divisible by 2 and 3 is divisible by their LCM, which is 6."
"Basic","Find the square root of 16.","8","3","5","4","D","\( \sqrt{16} = 4 \)."
"Basic","What is 15 divided by 3?","10","6","4","5","D","15 / 3 = 5."
"Basic","Find the sum of 7, 14, and 21.","42","46","84","38","A","7 + 14 + 21 = 42."
"Basic","What is the product of 8 and 6?","53","48","43","96","B","8 × 6 = 48."
"Basic","If a rectangle has length 10 cm and width 5 cm, find its area.","55.0","50 cm²","45.0","100.0","B","Area = Length × Width = 10 × 5 = 50 cm²."
"Basic","A tank holds 100 liters. If 20 liters are used, how much is left?","80 liters","88.0","160.0","72.0","A","Remaining = 100 - 20 = 80 liters."
"Basic","If 1 kg of apples costs $50, what is the cost of 3 kg?","150","135","300","165","A","Cost = 3 × 50 = $150."
"Basic","A clock shows 3:00. What time is it after 2 hours?","5.5","4.5","5:00","10.0","C","3:00 + 2 hours = 5:00."
"Basic","If a circle has radius 7 cm, find its circumference (use π = 3.14).","39.56","48.36","43.96 cm","87.92","C","Circumference = \( 2 \pi r = 2 \times 3.14 \times 7 = 43.96 \) cm."
"Basic","If 5 pens cost $25, what is the cost of 1 pen?","10","4","5","6","C","Cost per pen = 25 / 5 = 5."
"Basic","A bag contains 60 candies. If 15 are eaten, how many remain?","90.0","45 candies","49.5","40.5","B","Remaining = 60 − 15 = 45."
"Basic","If a square has side 6 cm, find its perimeter.","48.0","21.6","26.4","24 cm","D","Perimeter = 4 × Side = 4 × 6 = 24 cm."
"Basic","If 1 meter of cloth costs $30, how much does 4 meters cost?","108","132","120","240","C","Cost = 4 × 30 = $120."
"Basic","If a bottle contains 500 mL and 200 mL is poured out, how much is left?","330.0","300 mL","270.0","600.0","B","Left = 500 − 200 = 300 mL."
"Basic","A man can walk 20 km in 4 hours. How far does he walk in 1 hour?","4.5","5 km","5.5","10.0","B","Speed = 20 / 4 = 5 km/h.  
    Distance in 1 hour = 5 km."
"Basic","If 2 liters of milk cost $4, what is the cost of 1 liter?","1","3","4","2","D","Cost per liter = 4 / 2 = $2."
"Basic","A box contains 24 chocolates equally shared among 6 children. How many does each get?","3.6","8.0","4 chocolates","4.4","C","Each gets = 24 / 6 = 4."
"Basic","If a number increased by 10 is 110. equals, what is the original number?","100","110","90","200","A","Let the number be \( x \). Then, \( x + 10 = 110 \).  
    \( x = 110 − 110 - 10 =110 \). 10 = 100."
"Basic","A shelf holds 50 books. If 20 are removed, how many remain left?","30 books","27.0","33.0","60.0","A","Remaining = 50 − 20 −= 50. 30"
"Basic","If a train travels 150 km in 3 hours. hours, what is its speed?","55.0","50 km/h","100.0","45.0","B","Speed = 150 / 3 = 50 km/h."
"Basic","If a worker earns $120 in 3 days. days, how much does he earn in 1 day?","44","36","80","40","D","Earning per day = 120 / 3 = $40."
"Basic","If 3 notebooks cost $15, what is the cost of 1 notebook?","10","4","6","5","D","Cost per notebook = 15 / 3 = $5."
"Basic","A car travels at a 30 km/h. How far. does it go in 2 hours?","54.0","120.0","60 km","66.0","C","Distance = 30 × 2 = 60 km. km"
"Basic","If a number decreased by 15 equals 85, what is the number?","110","200","90","100","D","Let the number be \( x \). Then, \( x − 15 −= x 85 −= \). 85, so  
     \( x =85 + 15 = 100 \)."
"Intermediate","A number is increased by 20% and then decreased by 10%. If the final number is 264, find the original number.","220.00","488.88","244.44","268.88","C","Let the original number be \( x \). After 20% increase: \( 1.2x \). After 10% decrease: \( 1.2x \times 0.9 = 1.08x \). Given \( 1.08x = 264 \).  
   \( x = 264 / 1.08 = 244.44 \)."
"Intermediate","If 30% of a number is 45, what is 40% of that number?","120","60","54","66","B","Let the number be \( x \). Given \( 0.3x = 45 \), so \( x = 45 / 0.3 = 150 \).  
   40% of 150 = \( 0.4 \times 150 = 60 \)."
"Intermediate","A salary of $5000 is increased by 15%. What is the new salary?","11500","5750","5175","6325","B","Increase = \( 15\% \times 5000 = 0.15 \times 5000 = 750 \).  
   New salary = \( 5000 + 750 = 5750 \)."
"Intermediate","If a price is reduced by 25% and the new price is $150, what was the original price?","220","200","180","400","B","Let original price be \( x \). New price = \( 0.75x = 150 \).  
   \( x = 150 / 0.75 = 200 \)."
"Intermediate","A number is decreased by 10% and then increased by 20%. If the final result is 264, find the original number.","488.88","220.00","268.88","244.44","D","Let original number be \( x \). After 10% decrease: \( 0.9x \). After 20% increase: \( 0.9x \times 1.2 = 1.08x \). Given \( 1.08x = 264 \).  
   \( x = 264 / 1.08 = 244.44 \)."
"Intermediate","If 40% of a number exceeds 25% of it by 30, find the number.","180","200","400","220","B","Let the number be \( x \). Then, \( 0.4x - 0.25x = 30 \).  
   \( 0.15x = 30 \), so \( x = 30 / 0.15 = 200 \)."
"Intermediate","A shop offers a 20% discount on an item and still makes a 20% profit. If the cost price is $100, find the marked price.","135","300","150","165","C","Selling price with 20% profit = \( 100 \times 1.2 = 120 \).  
   Let marked price be \( m \). After 20% discount, \( 0.8m = 120 \).  
   \( m = 120 / 0.8 = 150 \)."
"Intermediate","If a population increases by 10% annually, what is the population after 2 years if it is 1000 now?","1331","1210","2420","1089","B","Population after 1 year = \( 1000 \times 1.1 = 1100 \).  
   After 2 years = \( 1100 \times 1.1 = 1210 \)."
"Intermediate","A number is increased by 25% and then decreased by 20%. If the result is 300, find the original number.","270","600","330","300","D","Let original number be \( x \). After 25% increase: \( 1.25x \). After 20% decrease: \( 1.25x \times 0.8 = x \). Given \( x = 300 \)."
"Intermediate","If 15% of a number is 60, what is 75% of that number?","600","270","300","330","C","Let the number be \( x \). Given \( 0.15x = 60 \), so \( x = 60 / 0.15 = 400 \).  
    75% of 400 = \( 0.75 \times 400 = 300 \)."
"Intermediate","A shopkeeper sells an item at a 10% profit. If the cost price is $200, what is the selling price?","198","440","220","242","C","Profit = \( 10\% \times 200 = 20 \).  
    Selling price = \( 200 + 20 = 220 \)."
"Intermediate","An article is sold at a 15% loss. If the selling price is $170, find the cost price.","200","180","220","400","A","Let cost price be \( x \). Selling price = \( 0.85x = 170 \).  
    \( x = 170 / 0.85 = 200 \)."
"Intermediate","A man buys an item for $150 and sells it for $180. Find the profit percentage.","40","20%","22","18","B","Profit = \( 180 - 150 = 30 \).  
    Profit % = \( (30 / 150) \times 100 = 20\% \)."
"Intermediate","If a book is sold for $120 at a 20% loss, what is the cost price?","300","165","135","150","D","Let cost price be \( x \). Selling price = \( 0.8x = 120 \).  
    \( x = 120 / 0.8 = 150 \)."
"Intermediate","A trader marks an item 25% above cost price and gives a 10% discount. If the cost price is $200, find the selling price.","248","202","450","225","D","Marked price = \( 200 \times 1.25 = 250 \).  
    Selling price after 10% discount = \( 250 \times 0.9 = 225 \)."
"Intermediate","An item is sold at a 5% profit. If the cost price is $400, what is the selling price?","840","462","420","378","C","Profit = \( 5\% \times 400 = 20 \).  
    Selling price = \( 400 + 20 = 420 \)."
"Intermediate","A shopkeeper sells a product at a 12% loss. If the cost price is $250, find the selling price.","198","220","440","242","B","Selling price = \( 250 \times 0.88 = 220 \)."
"Intermediate","If an article is bought for $300 and sold for $360, what is the profit percentage?","40","18","20%","22","C","Profit = \( 360 - 300 = 60 \).  
    Profit % = \( (60 / 300) \times 100 = 20\% \)."
"Intermediate","A vendor marks up an item by 40% and offers a 15% discount. If the cost price is $500, find the selling price.","536","654","1190","595","D","Marked price = \( 500 \times 1.4 = 700 \).  
    Selling price after 15% discount = \( 700 \times 0.85 = 595 \)."
"Intermediate","If the selling price of an item is $180 and the loss is 10%, find the cost price.","180","220","200","400","C","Let cost price be \( x \). Then, \( 0.9x = 180 \).  
    \( x = 180 / 0.9 = 200 \)."
"Intermediate","A can do a work in 12 days, and B can do it in 18 days. How long will they take together?","7.9","7.2 days","6.5","14.4","B","A’s work rate = \( 1/12 \), B’s work rate = \( 1/18 \).  
    Combined rate = \( 1/12 + 1/18 = (3 + 2)/36 = 5/36 \).  
    Time together = \( 36/5 = 7.2 \) days."
"Intermediate","If 6 workers complete a job in 8 days, how long will 4 workers take?","12 days","10.8","13.2","24.0","A","Total work = \( 6 \times 8 = 48 \) worker-days.  
    Time for 4 workers = \( 48 / 4 = 12 \) days."
"Intermediate","A can do a work in 15 days, and B in 20 days. If they work together for 5 days, what fraction of the work is left?","0.8333","5/12","0.4583","0.3750","B","A’s rate = \( 1/15 \), B’s rate = \( 1/20 \).  
    Combined rate = \( 1/15 + 1/20 = (4 + 3)/60 = 7/60 \).  
    Work done in 5 days = \( 5 \times 7/60 = 7/12 \).  
    Work left = \( 1 - 7/12 = 5/12 \)."
"Intermediate","If 3 men can complete a task in 10 days, how many men are needed to complete it in 6 days?","10.0","4.5","5 men","5.5","C","Total work = \( 3 \times 10 = 30 \) man-days.  
    Men needed for 6 days = \( 30 / 6 = 5 \)."
"Intermediate","A can do a job in 10 days. After working for 4 days, B joins and they finish in 3 more days. How long does B take alone?","11.0","20.0","10 days","9.0","C","A’s rate = \( 1/10 \). Work done by A in 4 days = \( 4/10 = 2/5 \).  
    Work left = \( 3/5 \). In 3 days, A does \( 3/10 \), so B does \( 3/5 - 3/10 = 3/10 \).  
    B’s rate = \( (3/10) / 3 = 1/10 \). B alone takes \( 10 \) days."
"Intermediate","If 8 machines produce 160 units in 5 hours, how many units will 6 machines produce in 4 hours?","105.6","86.4","96 units","192.0","C","Rate per machine = \( 160 / (8 \times 5) = 4 \) units/hour.  
    Units by 6 machines in 4 hours = \( 6 \times 4 \times 4 = 96 \)."
"Intermediate","A and B together can do a work in 6 days. If A alone takes 10 days, how long does B take?","13.5","15 days","30.0","16.5","B","Combined rate = \( 1/6 \), A’s rate = \( 1/10 \).  
    B’s rate = \( 1/6 - 1/10 = (5 - 3)/30 = 2/30 = 1/15 \).  
    B takes \( 15 \) days."
"Intermediate","If 5 workers build a wall in 12 days, how long will 3 workers take?","18.0","22.0","20 days","40.0","C","Total work = \( 5 \times 12 = 60 \) worker-days.  
    Time for 3 workers = \( 60 / 3 = 20 \) days."
"Intermediate","A can do a work in 8 days, and B in 12 days. How much work is done in 3 days together?","5/8","0.688","1.250","0.562","A","A’s rate = \( 1/8 \), B’s rate = \( 1/12 \).  
    Combined rate = \( 1/8 + 1/12 = (3 + 2)/24 = 5/24 \).  
    Work in 3 days = \( 3 \times 5/24 = 5/8 \)."
"Intermediate","If 4 men can paint a house in 15 days, how many men are needed to paint it in 10 days?","5.4","6.6","12.0","6 men","D","Total work = \( 4 \times 15 = 60 \) man-days.  
    Men for 10 days = \( 60 / 10 = 6 \)."
"Intermediate","A car travels 240 km in 4 hours. What is its speed in km/h?","60 km/h","120.0","66.0","54.0","A","Speed = \( 240 / 4 = 60 \) km/h."
"Intermediate","A train covers 300 km at 50 km/h. How long does it take?","6.6","12.0","5.4","6 hours","D","Time = \( 300 / 50 = 6 \) hours."
"Intermediate","A cyclist travels at 20 km/h for 3 hours and then at 15 km/h for 2 hours. What is the total distance?","90 km","81.0","99.0","180.0","A","Distance (first part) = \( 20 \times 3 = 60 \) km.  
    Distance (second part) = \( 15 \times 2 = 30 \) km.  
    Total distance = \( 60 + 30 = 90 \) km."
"Intermediate","Two cars start from the same point. One travels at 60 km/h and the other at 40 km/h in the same direction. What is their distance apart after 3 hours?","66.0","120.0","54.0","60 km","D","Relative speed = \( 60 - 40 = 20 \) km/h.  
    Distance = \( 20 \times 3 = 60 \) km."
"Intermediate","A man walks at 5 km/h for 2 hours and then cycles at 15 km/h for 1 hour. What is his average speed?","8.33 km/h","16.66","7.50","9.16","A","Total distance = \( (5 \times 2) + (15 \times 1) = 10 + 15 = 25 \) km.  
    Total time = \( 2 + 1 = 3 \) hours.  
    Average speed = \( 25 / 3 \approx 8.33 \) km/h."
"Intermediate","A train travels 180 km at 45 km/h. How long does it take?","8.0","4 hours","4.4","3.6","B","Time = \( 180 / 45 = 4 \) hours."
"Intermediate","A car covers a distance at 60 km/h and returns at 40 km/h. If the total time is 5 hours, find the distance.","240.0","120 km","132.0","108.0","B","Let distance one way be \( d \). Time taken = \( d/60 + d/40 = 5 \).  
    \( (2d/120 + 3d/120) = 5d/120 = 5 \).  
    \( d = 5 \times 120 / 5 = 120 \) km."
"Intermediate","A person travels 100 km at 25 km/h and another 100 km at 50 km/h. What is the average speed?","30.00","66.66","33.33 km/h","36.66","C","Time for first 100 km = \( 100 / 25 = 4 \) hours.  
    Time for second 100 km = \( 100 / 50 = 2 \) hours.  
    Total distance = \( 200 \) km, total time = \( 4 + 2 = 6 \) hours.  
    Average speed = \( 200 / 6 \approx 33.33 \) km/h."
"Intermediate","A bus travels at 50 km/h for 2 hours and then at 60 km/h for 3 hours. What is the total distance?","560.0","252.0","308.0","280 km","D","Distance = \( (50 \times 2) + (60 \times 3) = 100 + 180 = 280 \) km."
"Intermediate","Two trains approach each other at 60 km/h and 40 km/h. If they are 200 km apart, when will they meet?","1.8","2 hours","4.0","2.2","B","Relative speed = \( 60 + 40 = 100 \) km/h.  
    Time = \( 200 / 100 = 2 \) hours."
"Intermediate","If the ratio of two numbers is 3:5 and their sum is 80, find the numbers.","30 and 50","60.0","27.0","33.0","A","Let numbers be \( 3x \) and \( 5x \).  
    \( 3x + 5x = 80 \), so \( 8x = 80 \), \( x = 10 \).  
    Numbers = \( 3 \times 10 = 30 \), \( 5 \times 10 = 50 \)."
"Intermediate","Divide $180 in the ratio 2:3:5.","32.4","72.0","39.6","36, $54, $90","D","Total parts = \( 2 + 3 + 5 = 10 \).  
    Shares = \( (2/10) \times 180 = 36 \), \( (3/10) \times 180 = 54 \), \( (5/10) \times 180 = 90 \)."
"Intermediate","If A:B = 4:5 and B:C = 3:2, find A:C.","6:5","12.0","5.4","6.6","A","Make B common. LCM of 5 and 3 = 15.  
    A:B = 4:5 = 12:15 (multiply by 3).  
    B:C = 3:2 = 15:10 (multiply by 5).  
    A:B:C = 12:15:10, so A:C = 12:10 = 6:5."
"Intermediate","If 2:3 :: x:18, find x.","12","11","24","13","A","\( 2/3 = x/18 \), so \( x = (2 \times 18) / 3 = 12 \)."
"Intermediate","The ratio of two quantities is 5:7. If the larger quantity is 28, find the smaller.","22","18","20","40","C","Let smaller = \( 5x \), larger = \( 7x \). Given \( 7x = 28 \), so \( x = 4 \).  
    Smaller = \( 5x = 20 \)."
"Intermediate","Divide 240 in the ratio 3:4:5.","120.0","60, 80, 100","66.0","54.0","B","Total parts = \( 3 + 4 + 5 = 12 \).  
    Shares = \( (3/12) \times 240 = 60 \), \( (4/12) \times 240 = 80 \), \( (5/12) \times 240 = 100 \)."
