"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review","Distractor_Method"
"Basic","**Table 2: Number of Students in Five Classes (A–E) in Two Years**
| Class | 2022 | 2023 |
|-------|------|------|
| A     | 40   | 50   |
| B     | 30   | 35   |
| C     | 50   | 45   |
| D     | 60   | 70   |
| E     | 20   | 25   |

Question: What is the average number of students in Class A over the two years?","45 students","40 students","90 students","50 students","A","Total = 40 + 50 = 90. Average = 90 ÷ 2 = 45 students.","TRUE","mechanical"
"Basic","**Table 2: Number of Students in Five Classes (A–E) in Two Years**
| Class | 2022 | 2023 |
|-------|------|------|
| A     | 40   | 50   |
| B     | 30   | 35   |
| C     | 50   | 45   |
| D     | 60   | 70   |
| E     | 20   | 25   |

Question: By how much did Class B’s student count increase from 2022 to 2023?","4 students","5 students","6 students","10 students","B","Increase = 35 - 30 = 5 students.","TRUE","mechanical"
"Basic","**Table 2: Number of Students in Five Classes (A–E) in Two Years**
| Class | 2022 | 2023 |
|-------|------|------|
| A     | 40   | 50   |
| B     | 30   | 35   |
| C     | 50   | 45   |
| D     | 60   | 70   |
| E     | 20   | 25   |

Question: What is the total number of students in 2022 across all classes?","220 students","400 students","60 students","200 students","D","Total = 40 + 30 + 50 + 60 + 20 = 200 students.","TRUE","mechanical"
"Basic","**Table 2: Number of Students in Five Classes (A–E) in Two Years**
| Class | 2022 | 2023 |
|-------|------|------|
| A     | 40   | 50   |
| B     | 30   | 35   |
| C     | 50   | 45   |
| D     | 60   | 70   |
| E     | 20   | 25   |

Question: Which class had the lowest number of students in 2022?","Class A had the highest number of students in 2022, and Class E had the lowest.","Class E","Class D had the lowest number of students in 2022.","Class B had the lowest number of students in 2022, except the year 2022 was an off-year.","B","2022: A (40), B (30), C (50), D (60), E (20). Lowest is E (20).","TRUE","llm"
"Basic","**Table 2: Number of Students in Five Classes (A–E) in Two Years**
| Class | 2022 | 2023 |
|-------|------|------|
| A     | 40   | 50   |
| B     | 30   | 35   |
| C     | 50   | 45   |
| D     | 60   | 70   |
| E     | 20   | 25   |

Question: What is the percentage increase in Class A’s students from 2022 to 2023?","50%","40%","10%","25%","D","Increase = 50 - 40 = 10. % Increase = (10 ÷ 40) × 100 = 25%.","TRUE","mechanical"
"Basic","**Table 2: Number of Students in Five Classes (A–E) in Two Years**
| Class | 2022 | 2023 |
|-------|------|------|
| A     | 40   | 50   |
| B     | 30   | 35   |
| C     | 50   | 45   |
| D     | 60   | 70   |
| E     | 20   | 25   |

Question: What is the ratio of students in Class C in 2022 to 2023?","Class C had 50 students in 2022, and Class E had 20 students in 2023, so the ratio of students in Class C in 2022 to Class E in 2023 is 50 : 25.","Class C had 50 students in 2022 and 45 students in 2023, so the ratio of students in Class C in 2022 to 2023 is 50 : 40.","The number of students in Class C in 2022 was 50, and the number of students in Class D in 2022 was 60, so the ratio of students in Class C in 2022 to Class D in 2022 is 50 : 60.","10 : 9","D","2022 (50) : 2023 (45) = 50 : 45 = 10 : 9.","TRUE","llm"
"Basic","**Table 2: Number of Students in Five Classes (A–E) in Two Years**
| Class | 2022 | 2023 |
|-------|------|------|
| A     | 40   | 50   |
| B     | 30   | 35   |
| C     | 50   | 45   |
| D     | 60   | 70   |
| E     | 20   | 25   |

Question: What is the total number of students in Classes A and B in 2023?","170 students","35 students","85 students","50 students","C","2023: A (50) + B (35) = 85 students.","TRUE","mechanical"
"Basic","**Table 2: Number of Students in Five Classes (A–E) in Two Years**
| Class | 2022 | 2023 |
|-------|------|------|
| A     | 40   | 50   |
| B     | 30   | 35   |
| C     | 50   | 45   |
| D     | 60   | 70   |
| E     | 20   | 25   |

Question: Which year had more total students?","The total number of students in 2022 was lower than in 2023 because Class C had fewer students in 2023.","2023","had fewer total students, with Class E having the lowest number of students at 20 in that year.","In 2023, Class B had a decrease of 5 students from 2022.","B","2022: 200 students. 2023: 50 + 35 + 45 + 70 + 25 = 225 students. 2023 is higher.","TRUE","llm"
"Basic","**Bar Graph 1: Annual Revenue (in $1000) of Four Companies (2019–2021)**
- 2019: P (50), Q (40), R (60), S (30)
- 2020: P (55), Q (45), R (65), S (35)
- 2021: P (60), Q (50), R (70), S (40)

Question: What is Company P’s total revenue over the three years?","$165,000","$148,500","$181,500","$330,000","A","Total = 50 + 55 + 60 = 165 ($1000).","TRUE","mechanical"
"Basic","**Bar Graph 1: Annual Revenue (in $1000) of Four Companies (2019–2021)**
- 2019: P (50), Q (40), R (60), S (30)
- 2020: P (55), Q (45), R (65), S (35)
- 2021: P (60), Q (50), R (70), S (40)

Question: Which company had the highest revenue in 2020?","Company R had the lowest revenue in 2019.","Company S had the highest revenue in 2020 because it increased by 16.67% from 2019 to 2020.","Company P had the highest revenue in 2020 because it increased by 10% from 2019 to 2020 but still had the lowest revenue among all companies in 2020.","Company R","D","2020: P (55), Q (45), R (65), S (35). Highest is R (65).","TRUE","llm"
"Basic","**Bar Graph 1: Annual Revenue (in $1000) of Four Companies (2019–2021)**
- 2019: P (50), Q (40), R (60), S (30)
- 2020: P (55), Q (45), R (65), S (35)
- 2021: P (60), Q (50), R (70), S (40)

Question: What is the average revenue of Company Q over the three years?","$40,500","$90,000","$45,000","$49,500","C","Total = 40 + 45 + 50 = 135. Average = 135 ÷ 3 = 45 ($1000).","TRUE","mechanical"
"Basic","**Bar Graph 1: Annual Revenue (in $1000) of Four Companies (2019–2021)**
- 2019: P (50), Q (40), R (60), S (30)
- 2020: P (55), Q (45), R (65), S (35)
- 2021: P (60), Q (50), R (70), S (40)

Question: By how much did Company S’s revenue increase from 2019 to 2021?","$10,000","$20,000","$9,000","$11,000","A","Increase = 40 - 30 = 10 ($1000).","TRUE","mechanical"
"Basic","**Bar Graph 1: Annual Revenue (in $1000) of Four Companies (2019–2021)**
- 2019: P (50), Q (40), R (60), S (30)
- 2020: P (55), Q (45), R (65), S (35)
- 2021: P (60), Q (50), R (70), S (40)

Question: What is the total revenue of all companies in 2019?","$198,000","$360,000","$180,000","$162,000","C","2019: 50 + 40 + 60 + 30 = 180 ($1000).","TRUE","mechanical"
"Basic","**Bar Graph 1: Annual Revenue (in $1000) of Four Companies (2019–2021)**
- 2019: P (50), Q (40), R (60), S (30)
- 2020: P (55), Q (45), R (65), S (35)
- 2021: P (60), Q (50), R (70), S (40)

Question: Which company had the lowest revenue in 2021?","Company S","Company R had the highest revenue in 2019, so it's likely that company had the highest revenue in 2021 as well, making company S the lowest.","Company P had the lowest revenue increase from 2019 to 2021, so it must have had the lowest revenue in 2021.","The revenue of company Q increased by 25% from 2019 to 2021, while company S's revenue increased by only 33.33%, making company S the lowest in 2021.","A","2021: P (60), Q (50), R (70), S (40). Lowest is S (40).","TRUE","llm"
"Basic","**Bar Graph 1: Annual Revenue (in $1000) of Four Companies (2019–2021)**
- 2019: P (50), Q (40), R (60), S (30)
- 2020: P (55), Q (45), R (65), S (35)
- 2021: P (60), Q (50), R (70), S (40)

Question: What is the percentage increase in Company P’s revenue from 2019 to 2020?","10%","20%","11%","5%","A","Increase = 55 - 50 = 5. % Increase = (5 ÷ 50) × 100 = 10%.","TRUE","mechanical"
"Basic","**Bar Graph 1: Annual Revenue (in $1000) of Four Companies (2019–2021)**
- 2019: P (50), Q (40), R (60), S (30)
- 2020: P (55), Q (45), R (65), S (35)
- 2021: P (60), Q (50), R (70), S (40)

Question: What is the ratio of Company Q’s revenue in 2020 to 2021?","9 : 10","The ratio of Company Q's revenue in 2020 to Company S's revenue in 2021 is 45 : 40.","The ratio of Company P's revenue in 2019 to Company Q's revenue in 2021 is 50 : 50.","The ratio of Company Q's revenue in 2020 to Company R's revenue in 2019 is 45 : 60.","A","2020 (45) : 2021 (50) = 45 : 50 = 9 : 10.","TRUE","llm"
"Basic","**Bar Graph 1: Annual Revenue (in $1000) of Four Companies (2019–2021)**
- 2019: P (50), Q (40), R (60), S (30)
- 2020: P (55), Q (45), R (65), S (35)
- 2021: P (60), Q (50), R (70), S (40)

Question: What is the total revenue of Companies R and S in 2020?","$100,000","$90,000","$200,000","$110,000","A","2020: R (65) + S (35) = 100 ($1000).","TRUE","mechanical"
"Basic","**Bar Graph 1: Annual Revenue (in $1000) of Four Companies (2019–2021)**
- 2019: P (50), Q (40), R (60), S (30)
- 2020: P (55), Q (45), R (65), S (35)
- 2021: P (60), Q (50), R (70), S (40)

Question: Which year had the highest total revenue?","Option 1: The year with the highest total revenue was 2019 because the revenue of company P increased significantly from 60 to 60 in that year.","Option 2: The year with the highest total revenue was 2020 because company R's revenue was 65, surpassing its 2021 value of 70 when considering only the revenue of company R.","2021","Option 3: The year with the highest total revenue was 2019 because the revenue of company S increased from 30 to 40 in that year, contributing significantly to the overall total.","C","2019: 180. 2020: 55 + 45 + 65 + 35 = 200. 2021: 60 + 50 + 70 + 40 = 220 ($1000). Highest is 2021.","TRUE","llm"
"Basic","**Bar Graph 2: Number of Books Sold by Four Genres (2022–2023)**
- 2022: Fiction (200), Non-Fiction (150), Mystery (100), Sci-Fi (50)
- 2023: Fiction (220), Non-Fiction (160), Mystery (120), Sci-Fi (60)

Question: What is the total number of Fiction books sold over the two years?","840 books","220 books","420 books","200 books","C","Total = 200 + 220 = 420 books.","TRUE","mechanical"
"Basic","**Bar Graph 2: Number of Books Sold by Four Genres (2022–2023)**
- 2022: Fiction (200), Non-Fiction (150), Mystery (100), Sci-Fi (50)
- 2023: Fiction (220), Non-Fiction (160), Mystery (120), Sci-Fi (60)

Question: Which genre sold the most books in 2023?","Mystery sold the most books in 2023 with 250 units.","Fiction","Sci-Fi sold the most books in 2023 with 80 units.","Non-Fiction sold more books in 2023 than any other genre.","B","2023: Fiction (220), Non-Fiction (160), Mystery (120), Sci-Fi (60). Highest is Fiction.","TRUE","llm"
"Basic","**Bar Graph 2: Number of Books Sold by Four Genres (2022–2023)**
- 2022: Fiction (200), Non-Fiction (150), Mystery (100), Sci-Fi (50)
- 2023: Fiction (220), Non-Fiction (160), Mystery (120), Sci-Fi (60)

Question: What is the average number of Mystery books sold over the two years?","110 books","120 books","100 books","220 books","A","Total = 100 + 120 = 220. Average = 220 ÷ 2 = 110 books.","TRUE","mechanical"
"Basic","**Bar Graph 2: Number of Books Sold by Four Genres (2022–2023)**
- 2022: Fiction (200), Non-Fiction (150), Mystery (100), Sci-Fi (50)
- 2023: Fiction (220), Non-Fiction (160), Mystery (120), Sci-Fi (60)

Question: By how many books did Sci-Fi sales increase from 2022 to 2023?","20 books","9 books","10 books","11 books","C","Increase = 60 - 50 = 10 books.","TRUE","mechanical"
"Basic","**Bar Graph 2: Number of Books Sold by Four Genres (2022–2023)**
- 2022: Fiction (200), Non-Fiction (150), Mystery (100), Sci-Fi (50)
- 2023: Fiction (220), Non-Fiction (160), Mystery (120), Sci-Fi (60)

Question: What is the total number of books sold in 2022?","200 books","500 books","1,000 books","150 books","B","2022: 200 + 150 + 100 + 50 = 500 books.","TRUE","mechanical"
"Basic","**Bar Graph 2: Number of Books Sold by Four Genres (2022–2023)**
- 2022: Fiction (200), Non-Fiction (150), Mystery (100), Sci-Fi (50)
- 2023: Fiction (220), Non-Fiction (160), Mystery (120), Sci-Fi (60)

Question: Which genre sold the fewest books in 2022?","Sci-Fi","The data shows that Fiction sold the same number of books in both years, so Non-Fiction sold the fewest books in 2022.","Mystery sold more books than Non-Fiction in both years, so Mystery sold the fewest books in 2022.","In 2022, the ratio of Fiction to Sci-Fi books sold is 4:1, and Mystery to Non-Fiction is 2:3, so Mystery sold the fewest books in 2022.","A","2022: Fiction (200), Non-Fiction (150), Mystery (100), Sci-Fi (50). Lowest is Sci-Fi.","TRUE","llm"
"Basic","**Bar Graph 2: Number of Books Sold by Four Genres (2022–2023)**
- 2022: Fiction (200), Non-Fiction (150), Mystery (100), Sci-Fi (50)
- 2023: Fiction (220), Non-Fiction (160), Mystery (120), Sci-Fi (60)

Question: What is the percentage increase in Fiction sales from 2022 to 2023?","9%","20%","10%","11%","C","Increase = 220 - 200 = 20. % Increase = (20 ÷ 200) × 100 = 10%.","TRUE","mechanical"
"Basic","**Bar Graph 2: Number of Books Sold by Four Genres (2022–2023)**
- 2022: Fiction (200), Non-Fiction (150), Mystery (100), Sci-Fi (50)
- 2023: Fiction (220), Non-Fiction (160), Mystery (120), Sci-Fi (60)

Question: What is the ratio of Non-Fiction sales in 2022 to 2023?","Non-Fiction sales in 2022 were 50% lower than in 2023.","Non-Fiction sales in 2022 were 10% higher than in 2023.","The ratio of Non-Fiction sales in 2022 to Sci-Fi sales in 2022 is 3 : 1.","15 : 16","D","2022 (150) : 2023 (160) = 150 : 160 = 15 : 16.","TRUE","llm"
"Basic","**Bar Graph 2: Number of Books Sold by Four Genres (2022–2023)**
- 2022: Fiction (200), Non-Fiction (150), Mystery (100), Sci-Fi (50)
- 2023: Fiction (220), Non-Fiction (160), Mystery (120), Sci-Fi (60)

Question: What is the total number of Mystery and Sci-Fi books sold in 2023?","60 books","360 books","180 books","120 books","C","2023: Mystery (120) + Sci-Fi (60) = 180 books.","TRUE","mechanical"
"Basic","**Bar Graph 2: Number of Books Sold by Four Genres (2022–2023)**
- 2022: Fiction (200), Non-Fiction (150), Mystery (100), Sci-Fi (50)
- 2023: Fiction (220), Non-Fiction (160), Mystery (120), Sci-Fi (60)

Question: Which year had more total book sales?","had more total book sales because the Fiction sales that year were significantly higher than in 2023.","2023","In 2022, the Non-Fiction and Sci-Fi genres combined for more sales than in 2023.","The total number of books sold in 2022 was greater than in 2023 due to the higher Mystery sales in 2022.","B","2022: 500. 2023: 220 + 160 + 120 + 60 = 560 books. 2023 is higher.","TRUE","llm"
"Basic","**Pie Chart 1: Budget Allocation of a Company (Total: $100,000)**
- Salaries: 40%
- Rent: 20%
- Supplies: 15%
- Marketing: 15%
- Miscellaneous: 10%

Question: How much is allocated to Salaries?","$40,000","$100,000","$44,000","$80,000","A","Salaries = 40% of 100,000 = (40 ÷ 100) × 100,000 = $40,000.","TRUE","mechanical"
"Basic","**Pie Chart 1: Budget Allocation of a Company (Total: $100,000)**
- Salaries: 40%
- Rent: 20%
- Supplies: 15%
- Marketing: 15%
- Miscellaneous: 10%

Question: What is the amount allocated to Rent?","$18,000","$40,000","$20,000","$22,000","C","Rent = 20% of 100,000 = (20 ÷ 100) × 100,000 = $20,000.","TRUE","mechanical"
"Basic","**Pie Chart 1: Budget Allocation of a Company (Total: $100,000)**
- Salaries: 40%
- Rent: 20%
- Supplies: 15%
- Marketing: 15%
- Miscellaneous: 10%

Question: What is the total allocation for Supplies and Marketing?","$33,000","$30,000","$27,000","$60,000","B","Supplies (15%) + Marketing (15%) = 30%. 30% of 100,000 = $30,000.","TRUE","mechanical"
"Basic","**Pie Chart 1: Budget Allocation of a Company (Total: $100,000)**
- Salaries: 40%
- Rent: 20%
- Supplies: 15%
- Marketing: 15%
- Miscellaneous: 10%

Question: How much more is allocated to Salaries than to Miscellaneous?","$60,000","$40,000","$30,000","$10,000","C","Salaries ($40,000) - Miscellaneous (10% = $10,000) = 40,000 - 10,000 = $30,000.","TRUE","mechanical"
"Basic","**Pie Chart 1: Budget Allocation of a Company (Total: $100,000)**
- Salaries: 40%
- Rent: 20%
- Supplies: 15%
- Marketing: 15%
- Miscellaneous: 10%

Question: What percentage of the budget is allocated to Rent and Supplies combined?","35%","20%","15%","70%","A","Rent (20%) + Supplies (15%) = 35%.","TRUE","mechanical"
"Basic","**Pie Chart 1: Budget Allocation of a Company (Total: $100,000)**
- Salaries: 40%
- Rent: 20%
- Supplies: 15%
- Marketing: 15%
- Miscellaneous: 10%

Question: Which category has the smallest allocation?","Miscellaneous","Marketing has the smallest allocation as it accounts for 15% of the budget in 2008.","Supplies has the smallest allocation as it accounts for 15% of the budget in 2020.","Rent has the smallest allocation as it accounts for 20% of the budget.","A","Miscellaneous (10%) is the smallest.","TRUE","llm"
"Basic","**Pie Chart 1: Budget Allocation of a Company (Total: $100,000)**
- Salaries: 40%
- Rent: 20%
- Supplies: 15%
- Marketing: 15%
- Miscellaneous: 10%

Question: What is the ratio of Salaries to Marketing allocation?","The ratio of Salaries to Marketing allocation is 3 : 8.","8 : 3","The ratio of Salaries to Marketing allocation is 1 : 1.","The ratio of Salaries to Rent allocation is 2 : 1.","B","Salaries (40%) : Marketing (15%) = 40 : 15 = 8 : 3.","TRUE","llm"
"Basic","**Pie Chart 1: Budget Allocation of a Company (Total: $100,000)**
- Salaries: 40%
- Rent: 20%
- Supplies: 15%
- Marketing: 15%
- Miscellaneous: 10%

Question: How much is allocated to Miscellaneous?","$9,000","$10,000","$11,000","$20,000","B","Miscellaneous = 10% of 100,000 = $10,000.","TRUE","mechanical"
"Basic","**Pie Chart 1: Budget Allocation of a Company (Total: $100,000)**
- Salaries: 40%
- Rent: 20%
- Supplies: 15%
- Marketing: 15%
- Miscellaneous: 10%

Question: What is the difference between Rent and Marketing allocations?","$5,000","$5,500","$15,000","$10,000","A","Rent (20% = $20,000) - Marketing (15% = $15,000) = $5,000.","TRUE","mechanical"
"Basic","**Pie Chart 1: Budget Allocation of a Company (Total: $100,000)**
- Salaries: 40%
- Rent: 20%
- Supplies: 15%
- Marketing: 15%
- Miscellaneous: 10%

Question: What is the total percentage allocated to Salaries and Rent?","60%","20%","40%","120%","A","Salaries (40%) + Rent (20%) = 60%.","TRUE","mechanical"
"Basic","**Pie Chart 2: Distribution of 500 Students by Department**
- CS: 30%
- EE: 25%
- ME: 20%
- CE: 15%
- CH: 10%

Question: How many students are in the CS department?","100 students","150 students","300 students","165 students","B","CS = 30% of 500 = (30 ÷ 100) × 500 = 150 students.","TRUE","mechanical"
"Basic","**Pie Chart 2: Distribution of 500 Students by Department**
- CS: 30%
- EE: 25%
- ME: 20%
- CE: 15%
- CH: 10%

Question: How many students are in the EE department?","125 students","100 students","250 students","138 students","A","EE = 25% of 500 = (25 ÷ 100) × 500 = 125 students.","TRUE","mechanical"
"Basic","**Pie Chart 2: Distribution of 500 Students by Department**
- CS: 30%
- EE: 25%
- ME: 20%
- CE: 15%
- CH: 10%

Question: What is the total number of students in ME and CE?","175 students","100 students","350 students","500 students","A","ME (20%) + CE (15%) = 35%. 35% of 500 = (35 ÷ 100) × 500 = 175 students.","TRUE","mechanical"
"Basic","**Pie Chart 2: Distribution of 500 Students by Department**
- CS: 30%
- EE: 25%
- ME: 20%
- CE: 15%
- CH: 10%

Question: How many more students are in CS than in CH?","30 students","100 students","150 students","50 students","B","CS (30% = 150) - CH (10% = 50) = 150 - 50 = 100 students.","TRUE","mechanical"
"Basic","**Pie Chart 2: Distribution of 500 Students by Department**
- CS: 30%
- EE: 25%
- ME: 20%
- CE: 15%
- CH: 10%

Question: What percentage of students are in EE and ME combined?","20%","25%","90%","45%","D","EE (25%) + ME (20%) = 45%.","TRUE","mechanical"
"Basic","**Pie Chart 2: Distribution of 500 Students by Department**
- CS: 30%
- EE: 25%
- ME: 20%
- CE: 15%
- CH: 10%

Question: Which department has the fewest students?","The Chemical Engineering department has the second largest number of students.","CH","Mechanical Engineering has more students than Computer Science.","Computer Science and Electrical Engineering are tied for the most students.","B","CH (10%) is the smallest.","TRUE","llm"
"Basic","**Pie Chart 2: Distribution of 500 Students by Department**
- CS: 30%
- EE: 25%
- ME: 20%
- CE: 15%
- CH: 10%

Question: What is the ratio of CS to CE students?","2 : 1","The ratio of CS to CE students in the ME and CE departments combined is 3 : 2, as CS students form 30% of the total students and CE students form 20% of the total students.","The ratio of CS to CE students is 3 : 2, as CS students form 35% of the total students and CE students form 23.75% of the total students.","CS students form 60% of the total CS and EE students combined, while CE students form 45% of the total CS and EE students combined, so the ratio of CS to CE students is 4 : 3.","A","CS (30%) : CE (15%) = 30 : 15 = 2 : 1.","TRUE","llm"
"Basic","**Pie Chart 2: Distribution of 500 Students by Department**
- CS: 30%
- EE: 25%
- ME: 20%
- CE: 15%
- CH: 10%

Question: How many students are in the CH department?","100 students","45 students","55 students","50 students","D","CH = 10% of 500 = (10 ÷ 100) × 500 = 50 students.","TRUE","mechanical"
"Basic","**Pie Chart 2: Distribution of 500 Students by Department**
- CS: 30%
- EE: 25%
- ME: 20%
- CE: 15%
- CH: 10%

Question: What is the difference between EE and ME student counts?","20 students","50 students","25 students","28 students","C","EE (25% = 125) - ME (20% = 100) = 125 - 100 = 25 students.","TRUE","mechanical"
"Basic","**Pie Chart 2: Distribution of 500 Students by Department**
- CS: 30%
- EE: 25%
- ME: 20%
- CE: 15%
- CH: 10%

Question: What is the total percentage of CS and EE students?","25%","110%","30%","55%","D","CS (30%) + EE (25%) = 55%.","TRUE","mechanical"
"Basic","**Line Graph 1: Monthly Temperature (°C) in a City (Jan–Jun)**
- Jan: 10
- Feb: 12
- Mar: 15
- Apr: 18
- May: 22
- Jun: 25

Question: What is the temperature in March?","30°C","15°C","16°C","14°C","B","Mar = 15°C.","TRUE","mechanical"
