"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review"
"Basic","Meaning of “Under the weather”:","Feeling unwell","Flying high","Taking a beating","Out of bounds","A","Under the weather means feeling sick.","TRUE"
"Basic","Meaning of “Kick the bucket”:","Pass out due to exhaustion","Surrender","Collapse under the weight of one's own despair","Die","D","Kick the bucket is a euphemism for dying.","TRUE"
"Basic","Meaning of “Let the cat out of the bag”:","Disclose confidential business information.","Inform the public about an upcoming event.","Reveal a secret","Tell an old joke to a new audience.","C","Let the cat out of the bag means to reveal a secret.","TRUE"
"Basic","Meaning of “Hit the nail on the head”:","Get close but not quite precise","Be exactly right","Fail to even identify the nail","Miss the mark completely","B","Hit the nail on the head means to be precise.","TRUE"
"Basic","Meaning of “Bark up the wrong tree”:","Make a mistake","Search for the right branch","Investigate a false lead thoroughly","Follow the correct path always","A","Bark up the wrong tree means to be mistaken about something.","TRUE"
"Basic","Meaning of “A dime a dozen”:","Common in every household","Very common","Extremely rare and valuable","Found only in exotic locations","B","A dime a dozen means very common.","TRUE"
"Basic","Big : Small :: High : ?","Low","High : Fast","Tiny : Large :: High : Medium","Big : Strong :: High : Old","A","Big is the opposite of small. High’s opposite is low.","TRUE"
"Basic","Cat : Kitten :: Dog : ?","Pup","Puppy","Pet","Canine","B","Kitten is a young cat. Puppy is a young dog.","TRUE"
"Basic","Pen : Write :: Brush : ?","Finger : Read","Chisel : Sculpt","Paint","Knife : Cook","C","A pen is used to write. A brush is used to paint.","TRUE"
"Basic","Book : Page :: House : ?","Room","Floor","Door","Roof","A","A book contains pages. A house contains rooms.","TRUE"
"Basic","Teacher : Classroom :: Chef : ?","Bistro","Cuisine","Restaurant","Kitchen","D","A teacher works in a classroom. A chef works in a kitchen.","TRUE"
"Basic","Sun : Day :: Moon : ?","Rain : Winter","Night","Fog : Evening","Cloud : Morning","B","The sun is associated with day. The moon is associated with night.","TRUE"
"Basic","Car : Wheel :: Table : ?","Drawer","Pedestal","Chair base","Leg","D","A car has wheels as parts. A table has legs as parts.","TRUE"
"Basic","Bird : Fly :: Fish : ?","Sail","Crawl","Swim","Dive","C","A bird moves by flying. A fish moves by swimming.","TRUE"
"Basic","Clock : Time :: Thermometer : ?","Barometer","Temperature","Hygrometer","Altitude Gauge","B","A clock measures time. A thermometer measures temperature.","TRUE"
"Basic","Tree : Leaf :: Flower : ?","Branch","Twig","Stem","Petal","D","A tree has leaves as parts. A flower has petals as parts.","TRUE"
"Intermediate","Choose the synonym for ""Ephemeral"":","Fleeting","Transient","Perpetual","Momentary","B","Ephemeral means short-lived. Transient is the closest synonym.","TRUE"
"Intermediate","Find the synonym for ""Perspicuous"":","Clear","Distinctive","Oblivious","Transparently","A","Perspicuous means clearly expressed. Clear is the closest synonym.","TRUE"
"Intermediate","Synonym for ""Tenacious"":","Resolute","Stubborn","Determined","Persistent","D","Tenacious means holding firm. Persistent is the closest synonym.","TRUE"
"Intermediate","Choose the synonym for ""Obstreperous"":","Disciplined","Noisy","Rambunctious","Loudly","B","Obstreperous means difficult to control and noisy. Noisy is the closest synonym.","TRUE"
"Intermediate","Synonym for ""Proclivity"":","Inclination towards a particular activity","A propensity for being overly cautious","Tendency","A natural predisposition to engage in certain behavior","C","Proclivity means a natural inclination. Tendency is the closest synonym.","TRUE"
"Intermediate","Find the synonym for ""Ebullient"":","2. Sedate","Enthusiastic","3. Perplexed","1. Adventurous","B","Ebullient means cheerful and full of energy. Enthusiastic is the closest synonym.","TRUE"
"Intermediate","Synonym for ""Fastidious"":","Meticulous","Fussy","Cautious","Perfectionistic","A","Fastidious means very attentive to detail. Meticulous is the closest synonym.","TRUE"
"Intermediate","Choose the synonym for ""Quixotic"":","Ambitious","Unrealistic","Idealistic","Practical","B","Quixotic means impractical or unrealistic. Unrealistic is the closest synonym.","TRUE"
"Intermediate","Synonym for ""Sagacious"":","Gullible","Astute","Perspicacious","Wise","D","Sagacious means having keen judgment. Wise is the closest synonym.","TRUE"
"Intermediate","Find the synonym for ""Taciturn"":","Loquacious","Talkative","Reserved","Uncommunicative is a synonym for a different word, but it is similar in tone to ""Taciturn"" and could be an attractive distractor.","C","Taciturn means silent or reserved in speech. Reserved is the closest synonym.","TRUE"
"Intermediate","Choose the antonym for ""Candid"":","Underhanded","Deception was not the main idea of the word ""Candid""","Deceptive","Sincere is not the right antonym, as it is actually a synonym","C","Candid means truthful. Deceptive means misleading, the opposite.","TRUE"
"Intermediate","Find the antonym for ""Austere"":","Luxurious","Elegant","Sophisticated","Opulent","A","Austere means simple or severe. Luxurious is the opposite.","TRUE"
"Intermediate","Antonym for ""Eminent"":","Famous","Obscure","Lesser","Notable","B","Eminent means well-known. Obscure means unknown, the opposite.","TRUE"
"Intermediate","Choose the antonym for ""Prodigal"":","Wasteful","Opulent","Frugal","Thrifty","C","Prodigal means wasteful. Frugal means economical, the opposite.","TRUE"
"Intermediate","Antonym for ""Verbose"":","Explanatory","Laconic","Eloquent","Concise","D","Verbose means using too many words. Concise means brief, the opposite.","TRUE"
"Intermediate","Find the antonym for ""Obsolete"":","Outdatedness","Ultracontemporary","Obsolescent","Modern","D","Obsolete means no longer in use. Modern is the opposite.","TRUE"
"Intermediate","Antonym for ""Zeal"":","Lethargy","Indifference","Apathy","Complacency","C","Zeal means great enthusiasm. Apathy means lack of interest, the opposite.","TRUE"
"Intermediate","Choose the antonym for ""Vindictive"":","Vengeful","Petty","Merciless","Forgiving","D","Vindictive means seeking revenge. Forgiving is the opposite.","TRUE"
"Intermediate","Antonym for ""Candid"":","Frank was not being secretive","Open","Secretive","Transparent isn't","C","Candid means open and honest. Secretive means withholding information, the opposite.","TRUE"
"Intermediate","Find the antonym for ""Transient"":","Permanent","Enduring","Invariable","Lasting","A","Transient means short-lived. Permanent is the opposite.","TRUE"
"Intermediate","Despite his ______ demeanor, he was deeply concerned about the project’s success.","Jovial","Nonchalant","Ruthless","Carefree","B","Contrast with “deeply concerned” suggests a lack of outward emotion. Nonchalant (carefree) fits best.","TRUE"
"Intermediate","The lecture was so ______ that many students lost interest.","Fascinating","Tedious","Complicated","Engaging","B","Losing interest implies boring content. Tedious is appropriate.","TRUE"
"Intermediate","Her ______ approach to problem-solving earned her respect from colleagues.","Her meticulous approach to problem-solving earned her respect from colleagues.","Methodical","Her flamboyant approach to problem-solving earned her respect from colleagues.","Her impulsive approach to problem-solving earned her resentment from colleagues.","B","Earning respect suggests careful work. Methodical fits best.","TRUE"
"Intermediate","The manager’s ______ decision led to unexpected profits.","Cautious","Hasty","Astute","Uninformed","C","Unexpected profits imply a smart choice. Astute (shrewd) is appropriate.","TRUE"
"Intermediate","The novel’s ______ plot kept readers engaged until the last page.","Intricate","Complicated","Complexly","Winding","A","Keeping readers engaged suggests complexity. Intricate fits best.","TRUE"
"Intermediate","His ______ remarks offended the audience.","His sarcastic remarks offended the audience.","His scathing remarks offended the audience.","Caustic","His articulate remarks offended the audience.","C","Offending suggests harsh words. Caustic (biting) is appropriate.","TRUE"
"Intermediate","The team’s ______ efforts resulted in a flawless presentation.","Relaxed preparations","Concerted","Unmotivated endeavors","Disorganized attempts","B","Flawless suggests coordinated work. Concerted fits best.","TRUE"
"Intermediate","She handled the crisis with ______ composure.","She handled the crisis with immense audacity.","She handled the crisis with extraordinary panache.","Remarkable","She handled the crisis with astonishing nonchalance.","C","Handling a crisis well suggests calmness. Remarkable fits best.","TRUE"
"Intermediate","The politician’s ______ promises failed to convince voters.","Unrealistic","Hollow","Flimsy","Empty","B","Failing to convince suggests lack of sincerity. Hollow is appropriate.","TRUE"
"Intermediate","His ______ attitude made negotiations difficult.","His rigid demeanor made negotiations difficult.","His overly accommodating nature made negotiations difficult.","His lack of confidence made negotiations difficult.","Inflexible","D","Difficult negotiations suggest rigidity. Inflexible fits best.","TRUE"
"Intermediate","Identify the error: Neither of the boys *have* finished their work.","Neither of the boys *has* completed their work.","Neither of the boys *are* finished their work.","have → has","Neither of the boys *possesses* finished their work.","C","“Neither” is singular, requiring “has.” Error: *have*.","TRUE"
"Intermediate","Find the error: She *lay* the book on the table yesterday.","She set the book on the table yesterday.","lay → laid","She put the book on the table yesterday.","placed the wrong verb tense, the verb should be in the past perfect.","B","Past tense of “lie” (recline) is “lay”; for “place,” use “laid.” Error: *lay*.","TRUE"
"Intermediate","Identify the error: He is *more* interested in games than *study*.","He is *more* interested in games than *the* study.","study → studying","He is *more* interested in games than in studying.","He is *more* interested in games than *to* study.","B","Parallel structure requires “studying” or “studies.” Error: *study*.","TRUE"
"Intermediate","Find the error: Each of the students *were* given a book.","Each of the students was given a book.","were → was","Each of the students received were given a book.","Each of them were given a book.","B","“Each” is singular, requiring “was.” Error: *were*.","TRUE"
"Intermediate","Spot the error: She *has been* working here *since* five years.","She has been working here for five years.","She has been working here since five months.","since → for","She has been working here since last five years.","C","“Since” refers to a point in time, not duration. Use “for.” Error: *since*.","TRUE"
"Intermediate","Find the error: He *insisted* to attend the meeting.","He insisted that I attend the meeting.","to → on","He needed to be part of the meeting.","He wanted to be present at the meeting.","B","“Insist” is followed by “on” or a clause, not “to.” Error: *to*.","TRUE"
"Intermediate","Identify the error: This is *one of the best book* I have read.","This is one of the best books I have known.","This is one of the books I have read.","book → books","This is one of the best books I have seen.","C","“One of” refers to singular “book.” Error: *book*.","TRUE"
"Intermediate","Correct the sentence: He *enjoys to play* football on weekends.","He enjoys playing football every weekends.","He enjoys playing football in the week ends.","He enjoys playing football on weekends.","He plays football to enjoy on weekends.","C","“Enjoy” is followed by a gerund.","TRUE"
"Intermediate","Correct: Less *people* attended the event this year.","Fewer people attended the event this year.","Less individuals attended the event this year.","Fewer attendees were at the event this year.","Few people attended the event this year.","A","“Fewer” is used for countable nouns like “people.”","TRUE"
"Intermediate","Correct: She *don’t mind* working late hours.","She doesn't mind working late hours at all times.","She will mind working late hours tomorrow.","She mind working late hours sometimes.","She doesn’t mind working late hours.","D","Third person singular “She” requires “doesn’t.”","TRUE"
"Intermediate","Correct: I *could of* attended the seminar.","I could of attended the seminar because I wanted to learn.","I would of attended the seminar if I had more time.","I could of attended the seminar but I was too tired.","I could have attended the seminar.","D","“Could of” is incorrect; use “could have.”","TRUE"
"Intermediate","Correct: He is *taller than me*.","He is more tall than me.","He is taller then I.","He is taller than I am going.","He is taller than I.","D","Use subject pronoun “I” after “than” for comparisons.","TRUE"
"Intermediate","Correct: She *laid* in bed all day.","She lay in bed all day.","She slept in the bed all day.","She rested in bed all day.","She put in bed all day.","A","“Lie” (recline) past tense is “lay”; “laid” is for “lay” (place).","TRUE"
"Intermediate","Correct: Everyone *have* to submit their assignments.","Everyone must submit their assignments.","Everyone should submit there assignments.","Everyone has to submit their assignments.","Everyone are to submit their assignments.","C","“Everyone” is singular, requiring “has.”","TRUE"
"Intermediate","Correct: He *insisted* that she *leaves* early.","He insisted that she leave early.","He begged that she leave early.","He demanded she leaves early tomorrow.","He requested that she leaves early.","A","Subjunctive mood after “insist” requires “leave.”","TRUE"
"Intermediate","Passage: Technology has transformed education. Online platforms offer courses from top universities, making learning accessible. However, digital learning lacks the personal interaction of traditional classrooms. Studies show that blended learning, combining online and in-person methods, is most effective. Teachers must adapt to these changes to stay relevant.

Question: How has technology impacted education?","It has made learning more accessible through online platforms.","It has made learning more restricted through government regulations.","It has made learning more expensive through traditional textbooks.","It has made learning more limited through video games.","A","It has transformed education by offering accessible online courses.","TRUE"
"Intermediate","Passage: Technology has transformed education. Online platforms offer courses from top universities, making learning accessible. However, digital learning lacks the personal interaction of traditional classrooms. Studies show that blended learning, combining online and in-person methods, is most effective. Teachers must adapt to these changes to stay relevant.

Question: What is a drawback of digital learning?","Increased interaction with peers via social media platforms.","Higher costs to students.","Unlimited flexibility for students.","Lack of personal interaction.","D","It lacks personal interaction of traditional classrooms.","TRUE"
"Intermediate","Passage: Technology has transformed education. Online platforms offer courses from top universities, making learning accessible. However, digital learning lacks the personal interaction of traditional classrooms. Studies show that blended learning, combining online and in-person methods, is most effective. Teachers must adapt to these changes to stay relevant.

Question: What is the most effective learning method according to studies?","Blended learning.","Full-time online learning","Online courses from top universities","Traditional classrooms","A","Blended learning, combining online and in-person methods.","TRUE"
"Intermediate","Passage: Technology has transformed education. Online platforms offer courses from top universities, making learning accessible. However, digital learning lacks the personal interaction of traditional classrooms. Studies show that blended learning, combining online and in-person methods, is most effective. Teachers must adapt to these changes to stay relevant.

Question: What must teachers do to stay relevant?","Emphasize the importance of digital tools","Resist the shift towards online learning","Adapt to changes.","Retain their current methods","C","Adapt to technological changes.","TRUE"
"Intermediate","Passage: Technology has transformed education. Online platforms offer courses from top universities, making learning accessible. However, digital learning lacks the personal interaction of traditional classrooms. Studies show that blended learning, combining online and in-person methods, is most effective. Teachers must adapt to these changes to stay relevant.

Question: What do online platforms offer?","Digital resources for students everywhere,","Learning materials created by experts worldwide,","Courses from top universities.","Access to educational content globally,","C","Courses from top universities.","TRUE"
