"Test_ID","Test_Title","Target_Role","Question_ID","Question_Title","Difficulty","Category","Problem_Description","Input_Format","Output_Format","Constraints","Sample_Test_Cases","Hidden_Test_Cases","Starter_Code_Python","Starter_Code_JS","Optimal_Time_Complexity","Optimal_Space_Complexity"
"T05","Mid-Level Full Stack Engineer - Round 2","Mid-Level Full Stack Engineer","Q11","Group Anagram Product SKUs","Medium","Hash Map, Strings","An e-commerce catalog contains product SKU codes that are considered duplicates if they are anagrams of each other (same letters, different order). Group the given SKU codes into sets of anagrams. Each group should be sorted alphabetically internally, and the overall list of groups should be sorted for deterministic ordering.","A string array strs of SKU codes.","A list of lists of strings: SKUs grouped by anagram, each group sorted alphabetically, groups sorted for determinism.","1 <= strs.length <= 10^4
0 <= strs[i].length <= 100
strs[i] consists of lowercase English letters.
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""strs = ['eat', 'tea', 'tan', 'ate', 'nat', 'bat']"", ""output"": ""[[\""ate\"", \""eat\"", \""tea\""], [\""bat\""], [\""nat\"", \""tan\""]]"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""strs = ['']"", ""output"": ""[[\""\""]]"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""strs = ['a']"", ""output"": ""[[\""a\""]]""}, {""input"": ""strs = ['abc', 'bca', 'cab', 'xyz']"", ""output"": ""[[\""abc\"", \""bca\"", \""cab\""], [\""xyz\""]]""}, {""input"": ""strs = ['ab', 'ba', 'ab']"", ""output"": ""[[\""ab\"", \""ab\"", \""ba\""]]""}]","from typing import List

def group_anagrams(strs: List[str]) -> List[List[str]]:
    """"""Return SKUs grouped by anagram, each group and the group list sorted for determinism.""""""
    pass","/**
 * @param {string[]} strs
 * @return {string[][]}
 */
function groupAnagrams(strs) {
  // your code here
}","O(n * k log k)","O(n * k)"
"T06","Mid-Level Backend Engineer - Round 3","Mid-Level Backend Engineer","Q12","Validate Binary Search Tree of Employee IDs","Medium","Trees, Recursion","An HR system stores employee IDs in a binary tree structure meant to satisfy binary search tree ordering (left subtree strictly less, right subtree strictly greater than the node). Given the tree in level-order array form (null marks a missing child, LeetCode convention), determine whether it is a valid binary search tree.","A level-order array tree representing a binary tree, where null marks an absent child.","A boolean: true if the tree is a valid BST, false otherwise.","0 <= number of nodes <= 10^4
-2^31 <= node values <= 2^31 - 1
All node values are unique.
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""tree = [2, 1, 3]"", ""output"": ""true"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""tree = [5, 1, 4, None, None, 3, 6]"", ""output"": ""false"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""tree = []"", ""output"": ""true""}, {""input"": ""tree = [1]"", ""output"": ""true""}, {""input"": ""tree = [5, 4, 6, None, None, 3, 7]"", ""output"": ""false""}]","from typing import List, Optional

def is_valid_bst(tree: List[Optional[int]]) -> bool:
    """"""Return True if the level-order tree array represents a valid BST.""""""
    pass","/**
 * @param {(number|null)[]} tree
 * @return {boolean}
 */
function isValidBst(tree) {
  // your code here
}","O(n)","O(h)"
"T06","Mid-Level Backend Engineer - Round 3","Mid-Level Backend Engineer","Q13","Level Order Traversal of Org Chart","Medium","Trees, BFS","A company's org chart is stored as a binary tree, where each node is a manager and its children are direct reports. Return the org chart's employee IDs grouped level by level (breadth-first), representing each rung of the reporting hierarchy.","A level-order array tree representing a binary tree, where null marks an absent child.","A list of lists of integers: node values grouped by tree level, top to bottom.","0 <= number of nodes <= 2000
-1000 <= node values <= 1000
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""tree = [3, 9, 20, None, None, 15, 7]"", ""output"": ""[[3], [9, 20], [15, 7]]"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""tree = [1]"", ""output"": ""[[1]]"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""tree = []"", ""output"": ""[]""}, {""input"": ""tree = [1, 2, 3, 4, 5, 6, 7]"", ""output"": ""[[1], [2, 3], [4, 5, 6, 7]]""}, {""input"": ""tree = [1, None, 2, None, 3]"", ""output"": ""[[1], [2], [3]]""}]","from typing import List, Optional

def level_order(tree: List[Optional[int]]) -> List[List[int]]:
    """"""Return node values grouped by level, top to bottom.""""""
    pass","/**
 * @param {(number|null)[]} tree
 * @return {number[][]}
 */
function levelOrder(tree) {
  // your code here
}","O(n)","O(n)"
"T06","Mid-Level Backend Engineer - Round 3","Mid-Level Backend Engineer","Q14","Lowest Common Manager","Medium","Trees, Recursion","Given a company's org chart as a binary tree and the IDs of two employees, find the ID of their lowest common manager: the deepest node in the tree that has both employees as descendants (a node can be considered a descendant of itself).","A level-order array tree, and two integers p and q representing employee IDs guaranteed to exist in the tree.","An integer: the value of the lowest common ancestor node of p and q.","2 <= number of nodes <= 10^4
All node values are unique.
p != q, and both exist in the tree.
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""tree = [3, 5, 1, 6, 2, 0, 8, None, None, 7, 4], p = 5, q = 1"", ""output"": ""3"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""tree = [3, 5, 1, 6, 2, 0, 8, None, None, 7, 4], p = 5, q = 4"", ""output"": ""5"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""tree = [1, 2], p = 1, q = 2"", ""output"": ""1""}, {""input"": ""tree = [6, 2, 8, 0, 4, 7, 9, None, None, 3, 5], p = 2, q = 8"", ""output"": ""6""}, {""input"": ""tree = [6, 2, 8, 0, 4, 7, 9, None, None, 3, 5], p = 0, q = 5"", ""output"": ""2""}]","from typing import List, Optional

def lowest_common_manager(tree: List[Optional[int]], p: int, q: int) -> int:
    """"""Return the value of the lowest common ancestor of nodes p and q.""""""
    pass","/**
 * @param {(number|null)[]} tree
 * @param {number} p
 * @param {number} q
 * @return {number}
 */
function lowestCommonManager(tree, p, q) {
  // your code here
}","O(n)","O(h)"
"T07","Mid-Level Full Stack Engineer - Round 4","Mid-Level Full Stack Engineer","Q15","Container With Most Water Tanks","Medium","Two Pointers, Greedy","A row of storage tanks of varying heights sits along a pipeline. Given an array where each element is a tank's height, choose two tanks such that, together with the pipeline floor between them, they form a container holding the maximum possible amount of water. Return the maximum area.","An integer array heights of tank heights.","An integer: the maximum water area achievable between any two tanks.","2 <= heights.length <= 10^5
0 <= heights[i] <= 10^4
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""heights = [1, 8, 6, 2, 5, 4, 8, 3, 7]"", ""output"": ""49"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""heights = [1, 1]"", ""output"": ""1"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""heights = [4, 3, 2, 1, 4]"", ""output"": ""16""}, {""input"": ""heights = [1, 2, 1]"", ""output"": ""2""}, {""input"": ""heights = [2, 3, 4, 5, 18, 17, 6]"", ""output"": ""17""}]","from typing import List

def max_area(heights: List[int]) -> int:
    """"""Return the maximum water-holding area between any two tanks.""""""
    pass","/**
 * @param {number[]} heights
 * @return {number}
 */
function maxArea(heights) {
  // your code here
}","O(n)","O(1)"
"T07","Mid-Level Full Stack Engineer - Round 4","Mid-Level Full Stack Engineer","Q16","Serialize Binary File Tree","Hard","Trees, Design","A file system directory structure is modeled as a binary tree for a specialized backup tool. Implement a serialization function that converts the tree into a single comma-separated string using preorder traversal, marking absent children with the literal 'null', so the structure can be reconstructed exactly later.","A level-order array tree representing a binary tree, where null marks an absent child.","A string: the comma-separated preorder serialization of the tree, using 'null' for absent children.","0 <= number of nodes <= 10^4
-1000 <= node values <= 1000
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""tree = [1, 2, 3, None, None, 4, 5]"", ""output"": ""\""1,2,null,null,3,4,null,null,5,null,null\"""", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""tree = []"", ""output"": ""\""null\"""", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""tree = [1]"", ""output"": ""\""1,null,null\""""}, {""input"": ""tree = [1, 2, None, 3, None, 4, None]"", ""output"": ""\""1,2,3,4,null,null,null,null,null\""""}, {""input"": ""tree = [5, 4, 7, 3, None, 2, None, -1, None, 9]"", ""output"": ""\""5,4,3,-1,null,null,null,null,7,2,9,null,null,null,null\""""}]","from typing import List, Optional

def serialize(tree: List[Optional[int]]) -> str:
    """"""Return the preorder, comma-separated serialization of the tree ('null' for missing children).""""""
    pass","/**
 * @param {(number|null)[]} tree
 * @return {string}
 */
function serialize(tree) {
  // your code here
}","O(n)","O(n)"
"T08","Senior Software Engineer - Round 1","Senior Software Engineer","Q17","Longest Increasing Stock Price Subsequence","Medium","Dynamic Programming, Binary Search","Given an array of a stock's daily closing prices, find the length of the longest subsequence of days (not necessarily consecutive) during which the price was strictly increasing.","An integer array nums of daily closing prices.","An integer: the length of the longest strictly increasing subsequence.","1 <= nums.length <= 2500
-10^4 <= nums[i] <= 10^4
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""nums = [10, 9, 2, 5, 3, 7, 101, 18]"", ""output"": ""4"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""nums = [0, 1, 0, 3, 2, 3]"", ""output"": ""4"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""nums = [7, 7, 7, 7]"", ""output"": ""1""}, {""input"": ""nums = [1]"", ""output"": ""1""}, {""input"": ""nums = [1, 2, 3, 4, 5]"", ""output"": ""5""}]","from typing import List

def longest_increasing_subsequence(nums: List[int]) -> int:
    """"""Return the length of the longest strictly increasing subsequence.""""""
    pass","/**
 * @param {number[]} nums
 * @return {number}
 */
function longestIncreasingSubsequence(nums) {
  // your code here
}","O(n log n)","O(n)"
"T08","Senior Software Engineer - Round 1","Senior Software Engineer","Q18","Minimum Coins for Vending Machine Change","Hard","Dynamic Programming","A vending machine stocks a limited set of coin denominations and must dispense exact change for a purchase using the fewest coins possible. Given an array of available coin denominations and a target amount, return the minimum number of coins needed to make that amount exactly. If it cannot be made, return -1.","An integer array coins of available denominations, and an integer amount.","An integer: the minimum number of coins needed to make amount, or -1 if impossible.","1 <= coins.length <= 12
1 <= coins[i] <= 2^31 - 1
0 <= amount <= 10^4
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""coins = [1, 2, 5], amount = 11"", ""output"": ""3"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""coins = [2], amount = 3"", ""output"": ""-1"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""coins = [1], amount = 0"", ""output"": ""0""}, {""input"": ""coins = [1], amount = 2"", ""output"": ""2""}, {""input"": ""coins = [1, 3, 4], amount = 6"", ""output"": ""2""}]","from typing import List

def min_coins(coins: List[int], amount: int) -> int:
    """"""Return the minimum number of coins to make amount exactly, or -1.""""""
    pass","/**
 * @param {number[]} coins
 * @param {number} amount
 * @return {number}
 */
function minCoins(coins, amount) {
  // your code here
}","O(amount * coins.length)","O(amount)"
"T09","Senior Software Engineer - Round 2","Senior Software Engineer","Q19","Number of Connected Server Clusters","Medium","Graphs, Union-Find","A data center has n servers, and a list of direct network links between pairs of servers. Two servers are in the same cluster if they are connected directly or indirectly through other links. Given n and the list of links, return the number of distinct server clusters.","An integer n (number of servers, 0-indexed), and a 2D array edges of [u, v] pairs representing direct links.","An integer: the number of connected clusters.","1 <= n <= 2000
0 <= edges.length <= 5000
0 <= u, v < n, u != v
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""n = 5, edges = [[0, 1], [1, 2], [3, 4]]"", ""output"": ""2"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""n = 4, edges = [[0, 1], [2, 3], [1, 2]]"", ""output"": ""1"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""n = 1, edges = []"", ""output"": ""1""}, {""input"": ""n = 5, edges = []"", ""output"": ""5""}, {""input"": ""n = 6, edges = [[0, 1], [1, 2], [2, 0], [3, 4]]"", ""output"": ""3""}]","from typing import List

def count_clusters(n: int, edges: List[List[int]]) -> int:
    """"""Return the number of connected components among n servers given edges.""""""
    pass","/**
 * @param {number} n
 * @param {number[][]} edges
 * @return {number}
 */
function countClusters(n, edges) {
  // your code here
}","O(n + e * alpha(n))","O(n)"
"T09","Senior Software Engineer - Round 2","Senior Software Engineer","Q20","Shortest Path in Weighted Delivery Network","Hard","Graphs, Dijkstra","A logistics company models its delivery hubs as a weighted undirected graph, where edge weights represent travel time in minutes between hubs. Given the network, a source hub, and a destination hub, find the minimum total travel time from source to destination. If unreachable, return -1.","An integer n (number of hubs, 0-indexed), a 2D array edges of [u, v, weight], an integer src, and an integer dst.","An integer: the shortest travel time from src to dst, or -1 if unreachable.","1 <= n <= 1000
0 <= edges.length <= 10^4
1 <= weight <= 1000
0 <= src, dst < n
Time Limit: 1.5s, Memory: 256MB","[{""input"": ""n = 5, edges = [[0, 1, 4], [0, 2, 1], [2, 1, 2], [1, 3, 1], [2, 3, 5]], src = 0, dst = 3"", ""output"": ""4"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""n = 3, edges = [[0, 1, 1]], src = 0, dst = 2"", ""output"": ""-1"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""n = 1, edges = [], src = 0, dst = 0"", ""output"": ""0""}, {""input"": ""n = 4, edges = [[0, 1, 10], [0, 2, 3], [2, 1, 4], [1, 3, 2], [2, 3, 8]], src = 0, dst = 3"", ""output"": ""9""}, {""input"": ""n = 2, edges = [[0, 1, 5]], src = 1, dst = 0"", ""output"": ""5""}]","from typing import List

def shortest_path(n: int, edges: List[List[int]], src: int, dst: int) -> int:
    """"""Return the shortest weighted path distance from src to dst, or -1.""""""
    pass","/**
 * @param {number} n
 * @param {number[][]} edges
 * @param {number} src
 * @param {number} dst
 * @return {number}
 */
function shortestPath(n, edges, src, dst) {
  // your code here
}","O((V + E) log V)","O(V + E)"
"T10","Senior Software Engineer - Round 3","Senior Software Engineer","Q21","Next Higher Stock Price","Medium","Monotonic Stack","Given an array of a stock's prices over consecutive days, for each day find the next future day's price that is strictly higher than the current day's price. If no such future day exists, use -1 for that day.","An integer array nums of daily prices.","An integer array of the same length: for each index, the next greater value to its right, or -1.","1 <= nums.length <= 10^5
-10^9 <= nums[i] <= 10^9
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""nums = [2, 1, 2, 4, 3]"", ""output"": ""[4, 2, 4, -1, -1]"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""nums = [1, 2, 3, 4]"", ""output"": ""[2, 3, 4, -1]"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""nums = [5]"", ""output"": ""[-1]""}, {""input"": ""nums = [5, 4, 3, 2, 1]"", ""output"": ""[-1, -1, -1, -1, -1]""}, {""input"": ""nums = [1, 3, 2, 4]"", ""output"": ""[3, 4, 4, -1]""}]","from typing import List

def next_greater(nums: List[int]) -> List[int]:
    """"""Return, for each index, the next strictly greater value to its right, or -1.""""""
    pass","/**
 * @param {number[]} nums
 * @return {number[]}
 */
function nextGreater(nums) {
  // your code here
}","O(n)","O(n)"
